,movie,sentence,score,movieCd,movieNm
1740,인생은 아름다워,우리나라의 시대적 여러 감성과 첫사랑의 아련함같은 아기자기함과 삶까지 녹여낸 뮤지컬영화...  이만큼 발전했다는게 놀랍습니다,10,19990140,인생은 아름다워
1745,비상선언,아 뭔가 아쉽네요?.. 이렇게 뛰어난 명배우들을 데리고 진부한 스토리의 재난영화라.. 이제 재난영화 유행은 끝난것 같아요 ㅠㅠ 아쉽다 쩝,6,20196410,비상선언
1747,자백,원작에비해아쉽습니다,6,20198429,자백
1748,자백,원작에비해아쉽습니다,6,20163041,자백
1750,버닝,잼있게봣어요 쉬운영화는 아니에요 추천합니디,10,20173202,버닝
1751,리멤버,역사를 잊은 민족에게 미래는 없다.,10,20198461,리멤버
1752,정직한 후보2,미란언니 사랑해,10,20219628,정직한 후보2
1755,정직한 후보2,보는내내 이거 1편아니야?,4,20219628,정직한 후보2
1757,정직한 후보2,진태 때문에 김샜다. 강원도 양반들 잘 뽑드라고요,2,20219628,정직한 후보2
1758,늑대사냥,재미 여부에 상관없이 영화광이라면 한번쯤 보시기를 추천드립니다. 클레멘타인의 뒤를 이을.. 아니 뛰어넘은 한국영화 역사에 큰 획을 그은 작품이라고 생각합니다. 우리는 그동안 ‘영화의 재미’ 라는 것에 대해 매너리즘에 빠져있었을지도 모릅니다. 하지만 이 영화는 관객에게 색다른 방식의 재미를 선사합니다. [초반] 뭐야 불안한데? [초중반] 아 그만보고싶다. 뻔한 영화구만 [중반]뭐야 그게 다가 아니잖아!? 아무리 그래도 영화를 이렇게 만든다고?[중후반] 아니 여태까지는 양반이었네!! 뭐 이런영화가 다있어 [후반]으아아아아~~~~!!!!영화는 상영 내내 그동안의 뻔한 영화에 길들여져있던 우리를 비웃기라도 하듯 바닥의 바닥을 부수며 지하로 낙하합니다. 영화 전체가 루나코인 차트를 영상으로 표현한 예술작품이 아닐까 하는 생각마저 드네요. 아 그래 맞아 이게 한국영화였지? 내가 그동안 박찬욱 봉준호에 너무 홀렸었구나 하는 반성과 함께 영화에 대해 아는척을 했던 지난날을 반성하게끔 하는 영화였습니다. 감상후 관객에게 많은 사색을 하게 하는 영화는 좋은 영화라고 합니다. 그런 점에서 늑대사냥도 충분히 좋은 영화가 아닐까요? 이번 할로윈 주를 맞이하여 “늑대사냥” 강력히 추천합니다! ,10,20211472,늑대사냥
1761,인생은 아름다워,간만에 감성을 깊게 울리는 영화였다. 40대 이상이 특히 더 공감이 갈듯하다. 연기 연출 다 훌륭하고....넘 좋았다. ,10,19990140,인생은 아름다워
1762,인생은 아름다워,음악이 주는 힘은 어마어마하다,6,19990140,인생은 아름다워
1763,사도,영조와 정조 시대의 판타지를 걷어내고 그 민낯을 들여다 본 기념비적 사극,10,20148846,사도
1765,리멤버,전개가 빠르고 연기도 뛰어납니다,10,20198461,리멤버
1766,헬로우 고스트,살면서 본 영화 중에 가장 많이 운 영화예요 2010년부터 지금까지도 그 감동을 이긴 영화가 없네요오랜만에 보고 글 남기고 싶어 남깁니다. 이런 영화 하나 더 나옴 좋겠어요,10,20101223,헬로우 고스트
1768,한산: 용의 출현,CG가 좀; 그리고 거북선이 무슨 증기기관으로 달리나 돛도 없이 왜선보다 빠른건 뭐임.,6,20209343,한산: 용의 출현
1769,자백,반전에 반전을 거듭하여 마지막까지 집중해서 봤네요,9,20198429,자백
1770,자백,반전에 반전을 거듭하여 마지막까지 집중해서 봤네요,9,20163041,자백
1771,아름다운 청년 전태일,불쌍한 청년의 잘못된 선택을 반세기넘게 재활용해먹는 좌파인류들..죽은 뭐만 억울하지.,2,19950050,아름다운 청년 전태일
1772,인생은 아름다워,여운이 있는 영화!!!,10,19990140,인생은 아름다워
1773,리멤버,많은 생각을 하게하는 영화네요,10,20198461,리멤버
1774,자백,원작이 낫긴  하지만 볼만함 원작 보지말고 봐야 잼남,7,20198429,자백
1775,자백,원작이 낫긴  하지만 볼만함 원작 보지말고 봐야 잼남,7,20163041,자백
1776,늑대사냥,한국영화 역대 최강 개쓰레기무비!,1,20211472,늑대사냥
1777,리멤버,개인이 할 일이 아니라 나라가 해야할 일,10,20198461,리멤버
1778,공조2: 인터내셔날,이게 웃기면 벽 쳐다보고 웃으려고 노력해보셈 ㅋ,1,20215601,공조2: 인터내셔날
1779,공조2: 인터내셔날,왠만한 영화 두번째 작품치고 재밌다고 느낀 영화 없었는데 공조2는 전작보다 흥미진진하고 스토리구성 배우 연기까지 너무 재밌게 본 최고였다^^ 공조3를 살짝 기대해봅니다♡♡,10,20215601,공조2: 인터내셔날
1781,리멤버,친일파 처단이라는 강력한 요소를 가지고 영화를 만드셔서 어느정도 통쾌함은 있으나 영화가 허술합니다..전체적으로 개연성과 디테일이 떨어져요뭐랄까 옛날 영화 같았습니다물론 이성민 배우님 연기는 진짜 감탄 할만 합니다,6,20198461,리멤버
1783,정직한 후보2,1편보다는 재미가 덜하고 좀 억지였어요,5,20219628,정직한 후보2
1784,인생은 아름다워,젊은 분들보다는 결혼생활을 좀 오래한 관객들이 많이 공감할 수 있지 않을까 싶네요. 노랫말들이 새삼 가슴에 와닿아 깊은 울림이 있었습니다.,10,19990140,인생은 아름다워
1785,리멤버,지금껏 이런 케미는 없었다. 이것은 우정인가 사랑인가.,10,20198461,리멤버
1788,자백,초반의 긴장감에 비해 후반에는 힘이 좀 떨어지지만 잘 만든 리메이크 영화입니다,7,20198429,자백
1789,자백,초반의 긴장감에 비해 후반에는 힘이 좀 떨어지지만 잘 만든 리메이크 영화입니다,7,20163041,자백
1790,식스티 세컨즈,캐서방 차 훔치느라 수고했어.,8,20000194,식스티 세컨즈
1791,자백,나쁘지 않은 킬링타임 추리물,6,20198429,자백
1792,자백,나쁘지 않은 킬링타임 추리물,6,20163041,자백
1795,자백,난나나나 원탑 미모는 살아있네요,10,20198429,자백
1796,자백,난나나나 원탑 미모는 살아있네요,10,20163041,자백
1797,리멤버,"인상깊은 스토리, 이성민의 열연, 그것만으로도 충분.",8,20198461,리멤버
1798,늑대사냥,나는 재밌었는데 내가 이상한건가? 근데 반일팔이는 그만해라,10,20211472,늑대사냥
1799,자백,"복잡한 추리, 팽팽한 신경전, 말싸움 .... 반전?글쎄..^^",6,20198429,자백
1800,자백,"복잡한 추리, 팽팽한 신경전, 말싸움 .... 반전?글쎄..^^",6,20163041,자백
1801,아수라,모르고 봤는데 이런 명작이라니.. ㅎㄷㄷ,10,20153443,아수라
1803,헤어질 결심,정말...너무 잘 짜여진 영화고 여운을 남기는 영화. 여러번 볼수록 더 좋아진다 많은 사람들이 봤으면 한다.,10,20209654,헤어질 결심
1804,헤어질 결심,영화를 본 후에도 계속 곱씹게 된다,10,20209654,헤어질 결심
1805,스타박'스 다방,재미가없어요 절대 보지마세요,1,20161724,스타박'스 다방
1808,인생은 아름다워,감동적이고 재미있었습니다 추천~~,10,19990140,인생은 아름다워
1809,정직한 후보2,대작.... 감동 그 잡채밥....,10,20219628,정직한 후보2
1810,인생은 아름다워,어머니랑 둘이서 보면서 계속 울고 나왔습니다ㅠㅠ 휴지필수,7,19990140,인생은 아름다워
1811,늑대사냥,출연자들은 블록버스터급인데 내용은 3류 고어물. 이런영화를 돈들여서 왜 만드는건지.... 다양성을 위한 노력이라고 생각해야 할지....,1,20211472,늑대사냥
1812,늑대사냥,왜 나는 재밌지? 벌써2편 궁금한데 피도 시원하게연출되고 잔인하지만 속시원한 장면들이 많았는데  중간에 뜬금포인트는 그냥 이해하려하지말고 받아들이면 나름 괜찮은 영화인듯 평점이너무 낮아서 놀랬네 그정돈아닌데,10,20211472,늑대사냥
1813,강철비2: 정상회담,이걸 영화라고....,1,20196271,강철비2: 정상회담
1814,늑대사냥,배우들 보고 잼있겠다 싶어서 봤지만.... 별점 주기도 아까운 망작인듯.  배우들이 아깝다.,1,20211472,늑대사냥
1815,"광해, 왕이 된 남자",믿고보는 영화네요이병헌! 류승룡!,10,20124079,"광해, 왕이 된 남자"
1816,정직한 후보2,정직1를 너무 재미있게 봐서..  집에 갓난아기 있어서 영화관은 못가고  어제 TV로 구매하기 해서 봤는데 너무너무너무너무너무 실망했습니다.. 뭐죠 이건.???  억지웃음에.. 웃기지도 않고..  아무리 거짓말 안하는 국회의원 컨셉이지만 거짓말 안하는거랑 막말이랑은 구분을 좀 하셨으면... 좋았을텐데..대통령앞에서 못하는 소리도 없고..  그냥 그저 소리 빡 지르고 사과 반복... 이게 뭡니까.. 진짜  차라리 김무열만 진실의 주둥이 얻어서 했으면.. 더 낫지 않았을까 하네요... ,2,20219628,정직한 후보2
1818,육사오(6/45),배우들도 잘 선택 한것 같고    정이 가게  봤어요 ㅎㅎ ,10,20217826,육사오(6/45)
1820,마녀(魔女) Part2. The Other One,movie 굉장히 shiitty 하네.. 1편 보다 나아진게 없네..1시간 18분 보고 평점 남김..,2,20224882,마녀(魔女) Part2. The Other One
1822,시간 여행자의 아내,레이첼 맥아담스를 너무 좋아하는 팬으로서 기대하면서 봤는데 백승찬 평론가의 말이 가장 와닿는다... 지금 만나러 갑니다나 나는 내일 어제의 너와 만난다 처럼 퍼즐이 맞는 쾌감으로 수작이 될 가능성이 있어서 개연성 등이 더 아쉽게 느껴진다..,6,20090664,시간 여행자의 아내
1824,자백,반전이 넘치는 영화! 추리하고 봐도 실패했음,8,20198429,자백
1825,자백,반전이 넘치는 영화! 추리하고 봐도 실패했음,8,20163041,자백
1827,한산: 용의 출현,재밌었어요 :) 영화관에서 보기 좋네요.,7,20209343,한산: 용의 출현
1828,비상선언,재밌었어요 :) 영화관에서 보기 좋네요.,5,20196410,비상선언
1830,효자동 이발사,실제 효자동이발사는 박정희추종자인데.. 서민을 이렇게 좌파이념선전에 악용해도 되나? 조악한 플롯.저질스런 소재.천박한 전개.,2,20040483,효자동 이발사
1831,자백,아 진짜 간만에 스릴러 너무 좋았어요. 시간 가는줄 모르고 봤어요. 그리고 나나 이쁘고 연기 잘해서 놀랐음,10,20198429,자백
1832,자백,아 진짜 간만에 스릴러 너무 좋았어요. 시간 가는줄 모르고 봤어요. 그리고 나나 이쁘고 연기 잘해서 놀랐음,10,20163041,자백
1835,공조2: 인터내셔날,액션  맛집,10,20215601,공조2: 인터내셔날
1837,인생은 아름다워,"출근하기 싫어서 연차 쓰고 조조영화로 봤습니다.앞좌석에 부모님 연배와 비슷한 부부가 함께 보는데 서로 우리도 저랬었지 라는 말을 하면서 보시는거 같아 괜히 뭉클했어요 ㅎㅎ 바쁜 일상에 곁에 있는 소중한 사람들을 잊고 살아가는건 아닌지.. 너무나 당연하게 생각하며 살아가고 있는건 아닌지 일깨워주는 그런 영화네요.. OST 촌스럽다는 글을 봤는데 오히려 상황에 딱딱 맞는 노래가 너무 절묘해서 더 몰입하게 됩니다ps. 휴지 챙기세요, 마스크 다 젖습니다.",10,19990140,인생은 아름다워
1840,늑대사냥,아니 처음엔 좋았는데... 이게 뭐니...,2,20211472,늑대사냥
1841,캐릭터,왜소하고 더벅머리에 지저분한 수염 있는 사람이 범인이 아니라니. 마지막까지 야마시로 케이고가 진범일거라고 의심하면서 봤음.,9,19990115,캐릭터
1843,인생은 아름다워,"내 인생 영화보면서 가장많은 눈물을 흘린영화. 연기, 배경, OST 모두 완벽하게 재현. 다시보고싶네요.좋은작품 감사합니다.이런작품이 100만이면 홍보가 잘못된듯.",10,19990140,인생은 아름다워
1844,낮과 달,이렇게 귀여운 진상이라면 괜찮습니다 Yes민희zone,6,20211566,낮과 달
1845,늑대사냥,"스토리도 개연성도 없고 피만 낭자, 피튀기는것도 정말 저렇게 될까? 라는 의구심이 듬, 그리고 경찰들 답답함후속작은 제작이 어려워보이는데 후속작을 예고 하듯 끝남 잔인함만 있는 영화평점 너무 낮아서 안볼려다 집에서 쿠폰쓰고 할인받아서 봤는데도 괜히봤다 생각됨, 보고나서 눈이 너무 피로함",2,20211472,늑대사냥
1848,자백,영화 끝까지 머리 쓰면서 몰입할 수 있어서 재밌었고 배우들의 연기도 좋았습니다,6,20198429,자백
1849,자백,영화 끝까지 머리 쓰면서 몰입할 수 있어서 재밌었고 배우들의 연기도 좋았습니다,6,20163041,자백
1851,리멤버,아직 해결되지 않았고 언젠가는 해결되어야 할 이야기이성민 배우의 연기가 놀라웠습니다,6,20198461,리멤버
1852,자전차왕 엄복동,단순히 자전차를 타는게 아니라 애국심 차오르게 하는 영화인것같아요 너무 기대를 안해서 그런지 재밌어요 배우들연기도좋고,8,20176442,자전차왕 엄복동
1854,육사오(6/45),롤린롤린~~ㅋㅋㅋㅋ,10,20217826,육사오(6/45)
1856,리멤버,그저 반일 선동영화역겨움 그 자체,2,20198461,리멤버
1857,리멤버,예상과 달랐지만 의미 있는 영화라고 생각함,8,20198461,리멤버
1858,리멤버,친일파 척살,8,20198461,리멤버
1860,자백,긴장감 넘치는 스토리 전개. 배우들의 명연기. 시간 가는줄 모르고 정말 재미있게 봤습니다.,10,20198429,자백
1861,자백,긴장감 넘치는 스토리 전개. 배우들의 명연기. 시간 가는줄 모르고 정말 재미있게 봤습니다.,10,20163041,자백
1862,순수의 시대,재밌게 봤습니다 ~~~,10,20136063,순수의 시대
1863,자백,"원작도 재밌고, 리메이크작도 우리 현실에 맞게 각색이 잘 되었네요. 결말은 리메이크작이 더 낫습니다.",7,20198429,자백
1864,자백,"원작도 재밌고, 리메이크작도 우리 현실에 맞게 각색이 잘 되었네요. 결말은 리메이크작이 더 낫습니다.",7,20163041,자백
1866,자백,원작을 안 봤다면 정말 잘 봤을텐데... 너무 강력했다.,8,20198429,자백
1867,자백,원작을 안 봤다면 정말 잘 봤을텐데... 너무 강력했다.,8,20163041,자백
1868,늑대사냥,이 영화 도대체 머지??  시간 아까운 영화,1,20211472,늑대사냥
1869,성덕,"단 한번이라돠 연예인 덕질 해본 사람이라면 너무 공감되면서도 웃프게 보게 되는 영화.내 어린시절 오빠들, 여태 큰 잡음 없이 소소하게 함께해줘서 감사해요. 나는야 성덕",10,20211244,성덕
1871,육사오(6/45),감동적으로 봤습니다. 자유롭게 다니는 날이 오길... 그것이 통일,10,20217826,육사오(6/45)
1874,늑대사냥,박훈정이랑 친구냐 ???,4,20211472,늑대사냥
1875,리멤버,두 배우의 연기완급이 그야말로 찰떡이었다.,8,20198461,리멤버
1876,인생은 아름다워,"전체적으로 다소 유치한 면이 있지만 배우들의 연기와 레트로 감성을 자극하는 ost와 부모라면, 부부라면 공감할만한 스토리 삼박자가 고루 갖춘 영화였어요. 자칫 신파가 될 수 있는 스토리도 류승룡 배우님의 천연덕스러운 코믹연기와 염정아 배우의 현실적인 짠내연기가  단짠단짠 어우러져 웃다 울다 했네요.부부끼리 혹은 가족끼리 보면 가족의 의미를 다시 생각해볼 수 있는 시간이 될 것 같아요.",9,19990140,인생은 아름다워
1877,자백,리멤버 보고 돈 버리지 말고 이거 봐라,10,20198429,자백
1878,자백,리멤버 보고 돈 버리지 말고 이거 봐라,10,20163041,자백
1879,리멤버,속이 시원하네요~연기도 너무 좋습니다~!,10,20198461,리멤버
1880,리멤버,그놈의 반일... 반중(반짱)은 안하냐? 성민이는 맨날천날 정치적 요소가 담긴 영화만찍네 그것도 극좌로다가...,1,20198461,리멤버
1882,정직한 후보2,후보1 그냥저냥봤는데 최근에다시보니 잼있더라구요  그래서 2나온다길래엄청기다려서봤어요 잼있었어요 유쾌하고 편안하게보실만한내용이에요 배우분들이 매우사랑스럽습니다 마냥 밉지않아여~~ 결말은 좀더사이다였음 했지만  적당했구   후반부의 대사들이 좀  같은직종에있다보니  좀 납득이안되서 아쉬웠긴했습니다 그래도 잼나게봤어요    3도 기대됩니다  ,9,20219628,정직한 후보2
1883,리멤버,우리나라에 맞게 잘 리메이크한 작품 같아요,8,20198461,리멤버
1888,암수살인,"매그런 칼날로, 주지훈의 캐릭터 빗어내는 솜씨가 전설의 스릴러 로버트 드니로에 바짝다가서면서, 영사기 끝까지 긴장으로 빨려갔다. 경탄, 액터들 감독 제작진 몫이다.",10,20179189,암수살인
1890,물방울을 그리는 남자,물방울 속에 끊임없이 나를 담는 과정,8,20200523,물방울을 그리는 남자
1893,싱크홀,투썸서업!투썸서업!,7,20196270,싱크홀
1894,정직한 후보2,딱 1편정도 재미와 웃음,4,20219628,정직한 후보2
1895,리멤버,이성민배우의 연기 좋았어요과거를 깨끗하게 잘못한걸 해결하지 못하면 누군가 많은 상처를 안고 살아가게 되는거 같아요,8,20198461,리멤버
1896,스타게이저: 아스트로스코프,"아스트로 멤버들의 인터뷰와 콘서트공연 영상은 좋았으나 감독의 역량 부족인듯한 편집과 인터뷰 내용이 무엇을 전달하고자 하는지 전혀 모르겠음.콘서트 내용,컨셉과 인터뷰내용들이 전혀 어우러지지 않는 내용이라 당황스러움 (쿠키만 재밌습니다)",10,20227665,스타게이저: 아스트로스코프
1897,리멤버,배우들의 뛰어난 연기력으로 인해 몰입할 수 있다. 후반부에 약간 긴장감이 떨어지지만 그럼에도 추천할만한 영화.,8,20198461,리멤버
1898,리멤버,이 자본주의의 완전하지 않은 세상에서 스스로의 모순과 무관심을 감추기 위해 아직까지도 피해망상에 시달리며 적을 만들어내야하는 개돼지들의 비참한 현실 그래야 만 자신의 불완전선을 감추고 선으로 둔갑할 수 있으니까 말이다 ㅎㅎ ,1,20198461,리멤버
1899,캐릭터,최근 일본영화치곤 세련되게 찍힌영화빌런역이 웃음나는 연기로 무섭진않았어요,7,19990115,캐릭터
1901,그놈이다,결말이 아쉬었지만 꽤 디테일하여 무서웠던 것 같다,6,20157465,그놈이다
1903,늑대사냥,필요없는 잔인한 장면만 없으면 8점대로 올라갈만한 영화B급영화처럼 피가 폭포수처럼 쏟아지는게 정말 역겹고 거부감이 드네..,2,20211472,늑대사냥
1906,자백,김윤진 연기가 어색해서  집중이  잘 안되었습니다. 김윤진 배역이 예전에 아나운서 였으니 아파서 그만둔 설정이 있는데 발음이 좀 어색했어요.배역에 세심함이 부족한것 같네요 ,7,20198429,자백
1907,자백,김윤진 연기가 어색해서  집중이  잘 안되었습니다. 김윤진 배역이 예전에 아나운서 였으니 아파서 그만둔 설정이 있는데 발음이 좀 어색했어요.배역에 세심함이 부족한것 같네요 ,7,20163041,자백
1909,리멤버,우오어어ㅗ노노논.유오고고도도고고,10,20198461,리멤버
1910,자백,원작을 이정도로 리메이크 할수있다니.. 잘봤습니다,6,20198429,자백
1911,자백,원작을 이정도로 리메이크 할수있다니.. 잘봤습니다,6,20163041,자백
1913,정직한 후보2,웃음이실종된 그냥 시간 아까운 영화,5,20219628,정직한 후보2
1917,늑대사냥,거이거 너무심한거 아니요 혈흔이낭자한데 지루하기만할뿐,4,20211472,늑대사냥
1919,클레멘타인,회사에서 단체로 볼수는 없게죠국중선 꼭 봐라,10,20040558,클레멘타인
1921,대무가,영화 중간에 나오려다 돈 아까워서 끝까지 봄..,1,20208101,대무가
1923,늑대사냥,"관람객: 나가게해줘요,소품팀: 살려줘요 ",4,20211472,늑대사냥
1925,리멤버,역사를 잊은 민족에게 미래는 없다.,10,20198461,리멤버
1926,리멤버,국뽕이 제대로 차오르는 영화,10,20198461,리멤버
1927,뜨거운 피,나도 부산 출신이지만 이런 영화는 딱 2000년 초반에 끝냈어야 ㅡㅡ 곽경택 감독님 친구 이후로 진짜 식상하고 재미없다 ㅎ,2,20199500,뜨거운 피
1928,1987,코 끝이 찡하다 재밌으니 꼭 보세요,10,20170590,1987
1930,인생은 아름다워,너무 재밌게 봤다. 하현상 때문에 봤는데 진짜 재미 감동 두 배... 특히 하현상 우는 부분에서 나도 울음ㅠ,10,19990140,인생은 아름다워
1931,리멤버,이게 영화냐...좋은 소재를 이따구로 밖에 연출못하나,1,20198461,리멤버
1932,컴백홈,송새벽이는 웃기는거 포기해라. 진지한것만 좀 찍어라. 글고 이범수는 엄복동 자문감독님 아니심? 왜 이런 누추한곳에서 연기를? 어디가서 감독이나 하시지?,1,20217624,컴백홈
1935,자백,소지섭. 나나의 연기력 최고였어요.그런데 김윤진 발음때문에 집중안되서 힘들었어요.배종옥이 김윤진 역활을 했더라면 아쉬웠습니다.,8,20198429,자백
1936,자백,소지섭. 나나의 연기력 최고였어요.그런데 김윤진 발음때문에 집중안되서 힘들었어요.배종옥이 김윤진 역활을 했더라면 아쉬웠습니다.,8,20163041,자백
1939,싸움의 기술,조금은 희극적이었지만 나름 괜찮은 결말,8,20050346,싸움의 기술
1942,죽거나 혹은 나쁘거나,어쨌든 이 작품이 있었기에 지금의 류승완이 존재한다.,6,20000006,죽거나 혹은 나쁘거나
1943,자백,배우들 연기력이 몰입력을 만드네요,8,20198429,자백
1944,자백,배우들 연기력이 몰입력을 만드네요,8,20163041,자백
1945,자백,나나가 너무 예쁘다...,8,20198429,자백
1946,자백,나나가 너무 예쁘다...,8,20163041,자백
1947,악녀,화려한 액션씬 원테이크 기법 좋았다.처음에는 살짝 두통이 와서 멈추고 다시보았지만 괜찮은 액션 영화였다!,8,20162343,악녀
1950,인생은 아름다워,"국내 최초 뮤지컬 영화라 처음에 어색했지만 금방 익숙해졌어요. 신파내용이긴해도 전혀 억지스럽지 않았고 가족영화라 많은걸 생각하게 하는, 감동적인 영화입니다. 입소문 뒤늦게 나는중인데 더 대박나세요!!! 전 또 보고싶네요ㅡ OST도 무한반복중입니다",8,19990140,인생은 아름다워
1953,자백,배우들 연기도 뛰어나고 몰입감도 좋다,8,20198429,자백
1954,자백,배우들 연기도 뛰어나고 몰입감도 좋다,8,20163041,자백
1955,자백,배우들 연기도 뛰어나고 몰입감도 좋다,8,20198429,자백
1956,자백,배우들 연기도 뛰어나고 몰입감도 좋다,8,20163041,자백
1959,인생은 아름다워,내가 이상한 건가? 호평 일색의 리뷰가 의아하네요. 뮤지컬 영화인데 노래나 음향이 너무 기대이하였어요. 극의 전개 또한 좀 억지스러웠고 중간에 보다가 나가고 싶은 거 참고 보느라 힘들었어요. ㅠㅠ 저희 엄마는 화장실 가신다고 나가셔서 안 들어오신 거 보면 연령대의 문제도 아닌듯요... ,5,19990140,인생은 아름다워
1960,인생은 아름다워,정말 좋은 영화 다시보고싶은영화,10,19990140,인생은 아름다워
1961,리멤버,"돈받고 친일파를 지켜주는 고용된 깡패들도, 친일파를 연쇄살인 하는 살인범을 찾으려는 경찰도 친일파가 저지른 만행을 알게되면 우리와 같은 표정을 짓는다는 걸 영화보면서 느낌이걸 연출로 한거라면 대단함…연기자 두분 다 연기 엄청나요… 이건 꼭 봐야함",10,20198461,리멤버
1963,강철비2: 정상회담,나만 좋았나?  ^^;;,8,20196271,강철비2: 정상회담
1964,자백,원작과는 또 다른 재미와 스토리,10,20198429,자백
1965,자백,원작과는 또 다른 재미와 스토리,10,20163041,자백
1967,굿 윌 헌팅,몇번을 봐도 내 마음까지 치유 되는 영화,10,19980089,굿 윌 헌팅
1968,리멤버,이성민 x 남주혁 두 배우의 케미가 생각보다 훨씬 좋았어요. 필주의 복수를 저도 모르게 공감하게 되면서 맘 속에서 카타르시스를 느꼈습니다. 인규는 딱 20대 철없는 청년 그 자체였어요. 학자금 대출로 힘들어하고 아버지 병원비 때문에 사채 빚에 허덕여도 구김살없이 착한 아이. 그런 인규가 남주혁 배우에게 찰떡같이 잘 어울렸어요. 그 외 원로 배우님들의 연기도 볼 수 있어서 또 다른 의미로 감동이었습니다. 특히 박근형 배우님과 필주역 이성민 배우님의 연기가 오버랩되는 장면에서 지금을 살아가는 우리들에게 묵직한 메세지를 던진다고 생각합니다. 시대를 처절하게 살아온 그분들의 노고에 감사를 드리고 앞으로 살아갈 시대는 더 좋은 날들이 왔으면하는 바람도 가져봅니다! ,10,20198461,리멤버
1969,자백,소지섭 배우의 새로운 모습. 나나 연기 좋았어요. 루즈하지 않게 잘 만들어졌네요. 원작을 안봐서 그런지 재밌게 봤어요. ,10,20198429,자백
1970,자백,소지섭 배우의 새로운 모습. 나나 연기 좋았어요. 루즈하지 않게 잘 만들어졌네요. 원작을 안봐서 그런지 재밌게 봤어요. ,10,20163041,자백
1973,자백,뻔하디 뻔한 내용,4,20198429,자백
1974,자백,뻔하디 뻔한 내용,4,20163041,자백
1975,자백,퇴근하고 영화보느라 졸까봐 걱정했는데 긴장감이 탄탄해서 한번도 졸지 않고 몰입해서 봤어요 반전의 연속이라 재밌게봤습니당 ㅎㅎ,10,20198429,자백
1976,자백,퇴근하고 영화보느라 졸까봐 걱정했는데 긴장감이 탄탄해서 한번도 졸지 않고 몰입해서 봤어요 반전의 연속이라 재밌게봤습니당 ㅎㅎ,10,20163041,자백
1977,공작,보는 내내 몰입력이 상당해서 졸린상황이었는데 몰입해서봤다,10,20179101,공작
1978,리멤버,기존 일제시대장르와 조금다르게 신선하게 전개되어 흥미롭게 봤습니다중간중간 코믹한부분도 재미있었습니다,10,20198461,리멤버
1980,늑대사냥,뜬금포 ; 좀비물 중간에 좀비나옴,1,20211472,늑대사냥
1983,열혈남아,야구방망이로 수차례 맞아도 며칠만에 멀쩡해지는 황당한 영화. 왕가위에 실망. ,3,20060261,열혈남아
1984,자백,"스토리도 좋았고,배우분들의 연기도 너무 좋았습니다.",9,20198429,자백
1985,자백,"스토리도 좋았고,배우분들의 연기도 너무 좋았습니다.",9,20163041,자백
1987,리멤버,"일제감정기의 이야기를 담고 있어, 아직도 죗값을 받지 않은 몇 매국노들이 꼭 봤으면 좋겠네요 ㅎ",10,20198461,리멤버
1988,리멤버,"주제도 좋았고,배우분들의 연기도 너무 좋았습니다.",10,20198461,리멤버
1989,자백,흥미롭습니다... 끝까지 예상 못함ㅜ,9,20198429,자백
1990,자백,흥미롭습니다... 끝까지 예상 못함ㅜ,9,20163041,자백
1992,자백,한순간도 놓칠 수 없는 심장 터질듯 쫄깃쫄깃한 스토리 두배우의 한치의 양보도 없는 연기력 무엇하나 빠지는게 없다  n차관람  가려고요,10,20198429,자백
1993,자백,한순간도 놓칠 수 없는 심장 터질듯 쫄깃쫄깃한 스토리 두배우의 한치의 양보도 없는 연기력 무엇하나 빠지는게 없다  n차관람  가려고요,10,20163041,자백
