,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
41591,20127588,윌리암 제카,감독,추격자,20080046
41592,20127588,윌리암 제카,감독,추격자,19790040
41639,10057485,이준익,감독,궁녀,20127027
41640,10057485,이준익,감독,궁녀,20070497
41641,10040399,신상옥,감독,궁녀,20127027
41642,10040399,신상옥,감독,궁녀,20070497
41643,20124307,박홍수,감독,궁녀,20127027
41644,20124307,박홍수,감독,궁녀,20070497
41645,20125795,임상윤,감독,궁녀,20127027
41646,20125795,임상윤,감독,궁녀,20070497
41647,10000783,강우석,감독,궁녀,20127027
41648,10000783,강우석,감독,궁녀,20070497
41649,10004151,김미정,감독,궁녀,20127027
41650,10004151,김미정,감독,궁녀,20070497
41663,10072715,최종구,감독,무도리,20060276
41664,10058152,이형선,감독,무도리,20060276
41677,10053955,유정환,감독,스승의 은혜,20060210
41678,20188935,박채원,감독,스승의 은혜,20060210
41679,10058504,임대웅,감독,스승의 은혜,20060210
41680,10090222,황유식,감독,스승의 은혜,20060210
41681,10001414,경지숙,감독,스승의 은혜,20060210
41698,10006078,김태곤,감독,연리지,20060077
41699,10004627,김성중,감독,연리지,20060077
41700,20111806,박철진,감독,연리지,20060077
41709,10060189,장민승,감독,라이어,20040537
41710,10003582,김경형,감독,라이어,20040537
41711,20151358,김태훈,감독,라이어,20040537
41712,10060414,장윤현,감독,라이어,20040537
41713,10062030,정우철,감독,라이어,20040537
41714,10000928,강한영,감독,라이어,20040537
41719,10037076,송민규,감독,바이 준,19980042
41720,10072907,최호,감독,바이 준,19980042
41721,10058881,임태형,감독,바이 준,19980042
41747,10067361,조창열,감독,데자뷰,20173865
41748,20283049,고경민,감독,데자뷰,20173865
41749,10033029,비주 비스와나스,감독,데자뷰,20173865
41750,10080135,토니 스콧,감독,데자뷰,20173865
41774,20153842,김도영,감독,전설의 고향,20060230
41775,20226969,원일구,감독,전설의 고향,20060230
41776,10065272,조근현,감독,전설의 고향,20060230
41777,10005880,김지환,감독,전설의 고향,20060230
41811,10065952,조성희,감독,탐정 홍길동: 사라진 마을,20142406
41816,10090426,황희성,감독,동승,20030036
41817,10029224,박종영,감독,동승,20030036
41818,10060636,장형익,감독,동승,20030036
41819,10068856,주경중,감독,동승,20030036
41828,20360013,이입명,감독,퇴마록,19980025
41829,10005717,김종현,감독,퇴마록,19980025
41830,10028466,박광춘,감독,퇴마록,19980025
41833,10072874,최현민,감독,안나의 유서,19750084
41840,20112183,김성훈,감독,네모난원,20122702
41861,20153842,김도영,감독,가문의 영광5 - 가문의 귀환,20128687
41862,20151358,김태훈,감독,가문의 영광5 - 가문의 귀환,20128687
41863,10061765,정병식,감독,가문의 영광5 - 가문의 귀환,20128687
41864,10062006,정용기,감독,가문의 영광5 - 가문의 귀환,20128687
41865,10037027,송광호,감독,가문의 영광5 - 가문의 귀환,20128687
41870,10086149,피터 휴잇,감독,바로워즈 ,19990158
41885,20380620,투케이,감독,트로트는 인생이다,20212705
41890,20311613,권하,감독,기우제,20210689
41902,20206386,권중목,감독,모범생,20138561
41903,20173104,손태훈,감독,모범생,20138561
41912,20231926,연정모,감독,깡치,20151063
41915,20359613,김지석,감독,온 세상이 하얗다,20209185
41919,20244869,김의곤,감독,두 번째 겨울,20160501
41920,20216911,문경진,감독,두 번째 겨울,20160501
42035,20275249,김다솜,감독,신의 한 수: 귀수편,20181434
42036,20175841,리건,감독,신의 한 수: 귀수편,20181434
42077,20284770,김재현,감독,이월,20173993
42078,20237307,엄홍식,감독,이월,20173993
42079,10005808,김중현,감독,이월,20173993
42086,20308893,강인석,감독,숏버스 감성행,20219446
42087,20377066,박경진,감독,숏버스 감성행,20219446
42088,20256037,김호,감독,숏버스 감성행,20219446
42089,20363159,정세음,감독,숏버스 감성행,20219446
42090,20324977,김송미,감독,숏버스 감성행,20219446
42091,20318815,안다훈,감독,숏버스 감성행,20219446
42092,20283609,한정길,감독,숏버스 감성행,20219446
42093,20307332,백수아,감독,숏버스 감성행,20219446
42100,20179941,진모영,감독,"시바, 인생을 던져",20134474
42101,20111802,이성규,감독,"시바, 인생을 던져",20134474
42122,20120681,백승기,감독,인천스텔라,20201691
42157,20276669,정형석,감독,여수 밤바다,20174266
42158,20161223,김승록,감독,여수 밤바다,20174266
42159,10028598,박명랑,감독,여수 밤바다,20174266
42200,20200907,김정민우,감독,기억할 만한 지나침,20183424
42201,20200906,박순리,감독,기억할 만한 지나침,20183424
42209,10040866,심우섭,감독,여자가 더 좋아,19830062
42210,10003740,김기풍,감독,여자가 더 좋아,19830062
42216,10040866,심우섭,감독,난 모르겠네,19800054
42217,10006211,김한성,감독,난 모르겠네,19800054
42221,10040866,심우섭,감독,형님먼저 아우먼저,19800031
42225,10072874,최현민,감독,청춘공화국,19770030
42230,10056886,이원세,감독,광화문통 아이,19770018
42248,10027666,미클로스 얀초,감독,대결,20162022
42249,20157239,송예진,감독,대결,20162022
42250,10079546,태준식,감독,대결,20162022
42251,20110247,알랑 드롱,감독,대결,20162022
42252,20188669,이현철,감독,대결,20162022
42253,20111176,신재호,감독,대결,20162022
42254,10059405,자크 리베트,감독,대결,20162022
42255,10042767,아흐마드 레자 다르비쉬,감독,대결,20162022
42256,10059968,장 피에르 멜빌,감독,대결,20162022
42290,10057331,이정호,감독,방황하는 칼날,20129787
42291,10021332,마대윤,감독,방황하는 칼날,20129787
42305,10056888,이원식,감독,누나,20113231
42306,10056932,이유섭,감독,누나,20113231
42312,20112654,공귀현,감독,U.F.O.,20111686
42313,20113554,박홍준,감독,U.F.O.,20111686
42318,10028506,박기용,감독,간증,20101345
42319,20210671,김한울,감독,간증,20101345
42320,10060625,장현수,감독,간증,20101345
42321,10028833,박수민,감독,간증,20101345
42322,20252310,최성구,감독,간증,20101345
42333,10054989,이난,감독,평범한 날들,20101233
42347,10060673,장훈,감독,원 나잇 스탠드,20100234
42348,10036874,손영성,감독,원 나잇 스탠드,20100234
42349,10027834,민용근,감독,원 나잇 스탠드,20100234
42350,10056927,이유림,감독,원 나잇 스탠드,20100234
42351,10037492,수경,감독,원 나잇 스탠드,20100234
42384,10054393,윤여창,감독,열혈형사,20209430
42385,20166524,고성훈,감독,열혈형사,20209430
42391,20379604,차진우,감독,이상존재,20211581
42397,20114576,허철,감독,돌아온다,20174663
42407,10019069,류승완,감독,신촌좀비만화,20148534
42408,10006116,김태용,감독,신촌좀비만화,20148534
42409,10087753,한지승,감독,신촌좀비만화,20148534
42416,20214366,정훈,감독,배짱이들,20153803
42542,20165346,김준식,감독,계절과 계절 사이,20181199
42554,20174072,이주형,감독,붉은 가족,20135405
42555,10003696,김기덕,감독,붉은 가족,20135405
42578,20309910,김상규,감독,액션히어로,20218647
42579,20113708,이진호,감독,액션히어로,20218647
42580,20330294,황지우,감독,액션히어로,20218647
42581,10056231,이승무,감독,액션히어로,20218647
42582,20351585,김홍기,감독,액션히어로,20218647
42583,20308189,정아름,감독,액션히어로,20218647
42584,20326793,김가현,감독,액션히어로,20218647
42585,20310691,김윤미,감독,액션히어로,20218647
42597,10054495,윤종빈,감독,춘몽,20162541
42598,10047036,양익준,감독,춘몽,20162541
42599,10060143,장률,감독,춘몽,20162541
42600,20222306,오지윤,감독,춘몽,20162541
42601,10054133,유현목,감독,춘몽,20162541
42602,10029163,박정범,감독,춘몽,20162541
42603,10055931,이서,감독,춘몽,20162541
42604,20266869,김진우,감독,춘몽,20162541
42605,10040898,심정민,감독,춘몽,20162541
42622,20210768,김하나,감독,거인,20141001
42623,20191068,김태용,감독,거인,20141001
42624,20266633,해리 좡,감독,거인,20141001
42625,20266632,헨리 좡,감독,거인,20141001
42626,10013952,라울 월쉬,감독,거인,20141001
42638,20278509,박규리,감독,겨울밤에,20183358
42639,20166880,장우진,감독,겨울밤에,20183358
42666,20233786,이동은,감독,당신의 부탁,20177962
