num,movie,sentence,score
48,미쓰 홍당무,정말 사랑스러운 보석같은 영화. ,10
49,자백,"김윤진과 나나 두사람이 주인공,소지섭은 그냥 들러리 정도...김윤진 좋아하는 팬들은 꼭 감상하시고 나나 연기력 대박",8
50,창수,"개인적으로 임창정 영화중에 3손가락안에 꼽히는 작품이었음,이 영화가 별로라고 씹어 대는 모질이들은그저 마블 액션 히어로나 가서 보시길",10
51,늑대사냥,극장에서 안보길 잘했다,2
52,공조2: 인터내셔날,개봉일에 한번보고 스크린에서 내려간다기에 두달여만에 다시 보았는데 이걸 또 특가에 특가를 더해서 한달을 더 연장 상영한다고? 계열사 CJ엔터라고 너무 우려먹는거 같은데 적당히 해야지. 영화 값어치만 떨어지는 행위라고 밖에..,6
53,블랙 아담,정말 오랜만에 히어로물다운 작품을 보게되어 반가웠다 스펙타클 블록버스터 히어로액션이란 바로이런거지!,9
54,리멤버,이성민이랑 형사가 거의 한패인 수준 ,6
55,정직한 후보2,관람객 수준은 올라갔는데 영화 수준은 퇴보하고 있으니...,2
56,20세기 소녀,99년도에는 이미 핸드폰 열심히 쓰던 시절인데 삐삐라니...ㅎ,8
57,은행나무 침대,"심혜진 너무 이쁘다. 영화 내도록 심혜진 밖에 안보여, 즐라탄 형님은 좀 극혐 ㅠ",7
58,리멤버,친일파는 반듯이 처벌받아야함,10
59,비상선언,"어떤, 고리타분 포맷을 벗어나려해 신선함을 찐했다.",10
60,컴백홈,컴백홈 해야 되는데 다시 가출을 해버리네,4
61,자백,오랜만에 스토리 탄탄한 영화 잘 봤습니다,10
62,캡틴 아메리카: 시빌 워,윈터솔져 세뇌씬은 가히 최고다....어떻게 이런 변태적인 생각을.(좋다는 뜻),7
63,그대가 조국,이런걸 대체 왜보는것임,2
64,공조2: 인터내셔날,뻔한 전개  실망스럽다잼없다,2
65,공조2: 인터내셔날,전편보다 재미있었음,10
66,리멤버,시나리오가 쫌만 촘..촘.. 했으면~~ 싶다!!,7
67,하치 이야기,오래전 개봉한 영화지만 정말 슬프고 감동적인 영화 입니다. 추억에 시간보다 고통스러운 기다림에 시간이  훨씬 길었다는것도 너무 슬프고 한평생을 한사람만 기다린 하치가 너무 불쌍했습니다. 이영화를 보고 우리가 키우는 반려견의 시점에서 한번더 생각해보는 계기가 되었습니다.,10
68,공조2: 인터내셔날,아 지난 주말 봤는데... 정가로 재미있게 보긴 했는데... 지금 극장 7천원 특가네... ;;; ,10
69,탑건: 매버릭,너무 재미있었어요! 별 5개!,10
70,에브리씽 에브리웨어 올 앳 원스,엄마와 딸의 갈등이라는 다소 진부한 얘기를 멀티버스라는 소재로 잘 풀어나가고 지루할 틈 없는 연출력이 대단한 영화! 영화 속에 생각보다 많은 의미가 담겨 있어 다시 한번 놀라게 된다.,10
71,20세기 소녀,"남주가 죽은게 젤 아쉽지만...., 이렇게 마무리된것도 나쁘지 않았..무튼 재밌음",10
72,정직한 후보2,재밌어요,7
73,블랙 아담,DC에 미래가 보인다. . . .,9
74,늑대사냥,너무너무 답답한 경찰.. 암이 생겨버렸다,2
75,자백, 오랜만에 제대로된 추리물 본거같네요,10
76,블랙 아담,오로지 액션만 볼거면 추천합니다,5
77,성덕,아직 성덕에서 조금 모자란 난 공감하며 울 oppa 아니어서 다행이다 싶다가도최근 다른 의미로 이슈가 있던 울 oppa여서 저 맘 이해되는데 무튼 j씨가 본다면 이 작품 보며 울 것 같다 10년 후 감독님이 다시 j씨에 대해 다큐를 만든다면 어떻게 만들까? 궁금해진다 재미있게 잘 봤습니다 ,6
78,에브리씽 에브리웨어 올 앳 원스,상영시간이 좀 길었는데도 끝까지 졸지 않고 본 영화. 점입가경~!,8
79,리멤버,이성민씨 연기 개쩌네요 ...,10
80,20세기 소녀,남주 왜죽임..ㅜㅜ끝이  허무헤,4
