,movieCd,auditNo,watchGradeNm
0,20175441,2017-MF01775,12세이상관람가
0,20188393,2019-MF00414,12세이상관람가
0,20215048,2022-MF00753 ,15세이상관람가
0,20208446,2022-MF01573 ,12세이상관람가
0,20226207,2022-MF01736 ,전체관람가
0,20173826,2017-MF01339,15세이상관람가
0,20225186,2022-MF01509,청소년관람불가
0,20225190,2022-MF01201 ,전체관람가
0,20201815,2021-MF00195,15세이상관람가
0,19950040,95-33 ,고등학생이상관람가
0,19920077,92-105,연소자관람불가
0,20217982,2022-MF00809 ,15세이상관람가
0,19780066,,전체관람가
1,19780066,95-302,연소자관람가
2,19780066,2016-MF01704,전체관람가
0,20217769,2022-MF00740 ,15세이상관람가
0,20223986,2022-MF00329 ,12세이상관람가
0,20136057,2015-MF00623 ,15세이상관람가
0,20129370,2014-MF00753 ,15세이상관람가
0,20090077,2009-F414,12세이상관람가
0,19970099,97-63,연소자관람불가
1,19970099,2016-MF01841,청소년관람불가
0,19860130,86-190,국민학생관람불가
0,19980230,K98-248,12세 미만인 자는 관람할 수 없는 등급
0,20224882,2022-MF00969 ,15세이상관람가
0,20209945,2021-MF01583,15세이상관람가
0,20209269,2021-MF02946 ,전체관람가
0,20225180,2022-MF01490,15세이상관람가
0,19958426,96-260,연소자관람불가
1,19958426,2017-MF01852,청소년관람불가
0,19890091,88-236,고등학생이상관람가
0,20060170,K98-116,18세 미만인 자는 관람할 수 없는 등급
0,19960059,96-46 ,연소자관람불가
0,20224476,2022-MF00890 ,12세이상관람가
0,20225002,2022-MF01571,12세이상관람가
0,20224720,2022-MF00875 ,전체관람가
0,20204845,2022-MF00765 ,12세이상관람가
0,20204664,2021-MF00737,15세이상관람가
0,20211568,2022-MF00762 ,전체관람가
0,20181118,2021-MF02633 ,12세이상관람가
0,20224634,2022-MF01084,12세이상관람가
0,20040780,2004-F307,15세관람가
0,20210590,2022-MF01040 ,12세이상관람가
0,20040677,2004-F121,전체관람가
0,19900243,89-391,중학생이상관람가
0,19780079,,15세이상관람가
0,20200364,2021-MF00406,12세이상관람가
0,20172742,2017-MF01584,청소년관람불가
0,20224304,2022-MF01050,15세이상관람가
0,20224574,2022-MF00748 ,12세이상관람가
0,20219273,2021-MF01441,15세이상관람가
0,20223991,2021-MF03177 ,전체관람가
0,20217334,2022-MF00925 ,12세이상관람가
0,20216753,2022-MF00113,12세이상관람가
0,20201845,2021-MF00167,전체관람가
0,20217218,2021-MF00861,전체관람가
0,20201792,2022-MF00922 ,전체관람가
0,20201464,2021-MF01186,12세이상관람가
0,20206424,2020-MF00498,12세이상관람가
0,20225055,2022-MF01109 ,청소년관람불가
0,20217298,2021-MF01979 ,15세이상관람가
0,20126674,2013-MF00330,15세이상관람가
0,20201688,2022-MF00076,12세이상관람가
0,20207498,2022-MF00524,12세이상관람가
0,20196669,2022-MF00500,15세이상관람가
0,19650001,87-134,중학생이상관람가
0,20209348,2022-MF00594 ,15세이상관람가
0,20207567,2022-MF00540,전체관람가
0,20197520,2022-MF00403,전체관람가
0,20196906,2022-MF00579,15세이상관람가
0,20040598,2004-F170,전체관람가
0,20207568,2020-MF02767,12세이상관람가
0,20217102,2021-MF02673 ,12세이상관람가
0,20219711,2021-MF02298 ,청소년관람불가
0,20190299,2021-MF00964,12세이상관람가
0,20223620,2022-MF00572,12세이상관람가
0,20223939,2022-MF00690 ,15세이상관람가
0,19790082,,미성년자관람불가
0,20209298,2021-MF00660,12세이상관람가
0,20200524,2021-MF00375,12세이상관람가
0,20209954,2020-MF01437 ,12세이상관람가
0,20198414,2019-MF02518,15세이상관람가
0,20217123,2022-MF00372,12세이상관람가
0,20224302,2022-MF00357 ,12세이상관람가
0,20174169,2019-MF00106,12세이상관람가
0,20209273,2021-MF00166,12세이상관람가
0,20199500,2022-MF00058,15세이상관람가
0,20200474,2021-MF01251,12세이상관람가
0,20160261,2016-MF01484,전체관람가
0,19850042,,연소자관람가
0,20224509,2022-MF00788 ,전체관람가
0,19940028,94-212,고등학생이상관람가
