,movieCd,auditNo,watchGradeNm
0,20050280,2005-F287,18세관람가
0,20060417,2007-F020,15세이상관람가
0,20060157,2006-F186,15세관람가
0,20050347,96-451,고등학생이상관람가
0,20060408,2007-F004,전체관람가
0,20172964,2017-MF01554,12세이상관람가
0,19940120,94-37,고등학생이상관람가
0,20090491,96-185,연소자관람불가
0,20060171,96-213,고등학생이상관람가
0,19950130,95-28,연소자관람불가
0,19950036,95-9 ,고등학생이상관람가
0,19890077,89-264,연소자관람불가
0,19900065,90-331 ,고등학생이상관람가
0,19910066,91-345,연소자관람불가
0,19910023,91-93,연소자관람불가
0,20126507,2012-F824,청소년관람불가
0,20123662,2014-MF00153 ,15세이상관람가
0,20070061,2007-F199,12세이상관람가
0,20147432,2014-MF00823 ,청소년관람불가
0,20125232,2013-MF00314 ,12세이상관람가
0,20139162,2014-MF00107 ,청소년관람불가
0,20166132,2017-MF01243,15세이상관람가
0,20141609,2014-MF01113 ,청소년관람불가
0,20144442,2015-MF01558 ,12세이상관람가
0,19970020,97-293,연소자관람불가
0,20090434,2009-F260,15세이상관람가
0,20090159,2009-F173,15세이상관람가
0,20090023,2009-F30,15세이상관람가
0,20090035,2009-F88,청소년관람불가
0,20164859,2017-MF01096,15세이상관람가
0,20170723,2017-MF00966,청소년관람불가
0,20111973,2011-F462,전체관람가
0,20128609,2012-F763,12세이상관람가
0,20155485,2016-MF00733,15세이상관람가
0,20040790,2004-F356,15세관람가
0,20167829,2017-MF00722,15세이상관람가
0,19920012,92-444,연소자관람불가
0,19960038,96-199,고등학생이상관람가
0,19790029,,국민학생관람불가
0,20162545,2016-MF01601,15세이상관람가
0,20162802,2016-MF00125 ,청소년관람불가
0,19870019,87-31,미성년자관람불가
0,19880011,87-214,미성년자관람불가
0,19890003,89-14,연소자관람불가
0,19790060,,국민학생관람불가
0,20175042,2017-MF00959,청소년관람불가
0,20080697,87-189,연소자관람가
0,20145503,2015-MF01188 ,15세이상관람가
0,19950060,95-329 ,연소자관람불가
0,19900024,90-62 ,연소자관람불가
0,19830002,6093,연소자관람가
0,19800007,,연소자관람가
0,19730057,,15세이상관람가
0,19738197,,
0,19730004,,전체관람가
0,20164643,2017-MF00969,12세이상관람가
0,19720089,,12세이상관람가
0,19710132,,12세이상관람가
0,19710112,,12세이상관람가
0,20164981,2017-MF00444,청소년관람불가
0,20153801,2015-MF01124 ,전체관람가
0,20149796,2014-MF00597,전체관람가
0,20166128,2016-MF01487,12세이상관람가
0,20154428,2016-MF01731,12세이상관람가
0,20000049,2000-F386,18세관람가
0,19850068,85-62,연소자관람불가
0,20090510,2009-F301,15세이상관람가
0,20030335,2003-F049,15세관람가
0,20145502,2016-MF00194 ,청소년관람불가
0,20130021,2015-MF00827 ,15세이상관람가
0,20134123,2013-MF00772 ,15세이상관람가
0,20111914,2011-F491,청소년관람불가
0,20100188,2010-F159,청소년관람불가
0,20030127,2003-F250,18세관람가
0,20020083,2002-F031,18세관람가
0,20000046,2000-F399,15세관람가
0,19990077,99-048,모든 관람객이 관람할 수 있는 등급
0,19980012,K98-255,18세 미만인 자는 관람할 수 없는 등급
0,20040633,2004-F231,12세관람가
0,20158742,2015-MF01650 ,청소년관람불가
0,20152541,2016-MF00066 ,15세이상관람가
0,20152370,2015-MF01477 ,15세이상관람가
0,20156562,2016-MF01907,15세이상관람가
0,20177101,2017-MF00355,청소년관람불가
0,20000029,2000-F022,12세관람가
0,19930025,93-43,중학생이상관람가
0,20040721,2004-F337,12세관람가
1,20040721,2016-MF01939,12세이상관람가
0,19850104,,연소자관람가
0,20162970,2016-MF01445,청소년관람불가
0,20166422,2017-MF00299,청소년관람불가
0,20142706,2016-MF01678,전체관람가
0,20174644,2017-MF00741 ,12세이상관람가
0,19710180,,12세이상관람가
0,19710001,,전체관람가
0,19710005,,전체관람가
0,19740117,,12세이상관람가
0,19740029,,12세이상관람가
0,19750072,,12세이상관람가
0,19920089,92-37,고등학생이상관람가
0,19840036,6257,연소자관람불가
0,19820075,,연소자관람불가
0,19890054,89-267,연소자관람불가
0,20040656,2004-F229,12세관람가
0,19920082,92-76,연소자관람불가
0,19790035,,국민학생관람불가
0,19820089,,국민학생관람불가
0,20108894,,15세이상관람가
0,19770014,,12세이상관람가
0,19790044,,국민학생관람불가
0,20090530,2009-F267,청소년관람불가
0,19800001,,연소자관람불가
0,19800064,5934,연소자관람불가
0,19800135,5880,연소자관람불가
0,19830097,6121,12세이상관람가
0,19920073,92-89,연소자관람가
0,20150753,2017-MF00285,15세이상관람가
0,20176345,2016-MF02166,청소년관람불가
0,20151063,2016-MF00897 ,청소년관람불가
0,20113835,2013-MF00257,15세이상관람가
0,20070589,2008-F284,15세이상관람가
0,19830013,6141,연소자관람불가
0,19830101,6069,연소자관람불가
0,19830076,6210,연소자관람불가
0,19850047,6269,연소자관람불가
0,20060082,2006-FV53,18세관람가
1,20060082,2017-MF00083,청소년관람불가
0,20070008,2007-F007,12세이상관람가
1,20070008,2017-MF00062,12세이상관람가
0,20124069,2012-F901,청소년관람불가
0,20127593,2012-F1003 ,15세이상관람가
0,20060104,2006-F070,15세관람가
0,19950355,95-393,연소자관람불가
0,19980054,K97-67,15세 미만인 자는 관람할 수 없는 등급 
0,20144641,2016-MF01779,12세이상관람가
0,20133071,2016-MF01229,전체관람가
0,20174782,2017-MF00054,청소년관람불가
0,20167102,2016-MF01889,12세이상관람가
0,20162871,2017-MF00656,15세이상관람가
0,20172863,2017-MF00501,12세이상관람가
0,20161923,2017-MF00509,15세이상관람가
0,20143510,2015-MF00967 ,청소년관람불가
0,20174164,2017-MF00577,청소년관람불가
0,19930038,93-4,연소자관람불가
0,19930049,93-429,연소자관람불가
0,19950018,95-173,고등학생이상관람가
0,19650042,,12세이상관람가
0,19809045,5940,연소자관람불가
0,19950032,95-76 ,연소자관람불가
0,19710093,,12세이상관람가
0,20172601,2017-MF00334,청소년관람불가
0,20153444,2016-MF01388,15세이상관람가
0,20169603,2017-MF00500,청소년관람불가
0,19980148,96-190,고등학생이상관람가
1,19980148,2017-MF00371,15세이상관람가
0,20162026,2017-MF00423,청소년관람불가
0,19810030,6009,연소자관람불가
0,19920085,92-24,고등학생이상관람가
0,19860054,86-131,연소자관람불가
0,19830012,6141,연소자관람불가
0,19830017,6147,연소자관람불가
0,20070484,5996,국민학생관람불가
0,19930406,93-504,고등학생이상관람가
0,20164403,2016-MF01183,청소년관람불가
0,20040525,2004-F078,15세관람가
0,19930253,93-407,연소자관람불가
1,19930253,2017-MF00079,청소년관람불가
0,20119718,2011-F111,전체관람가
0,20151230,2017-MF00162,15세이상관람가
0,20152369,2016-MF01045 ,청소년관람불가
0,19850089,,국민학생관람불가
0,20113916,2012-F100,15세이상관람가
0,20113532,2012-F377,15세이상관람가
0,20124067,2012-F486,12세이상관람가
0,20113887,2012-F654,15세이상관람가
0,20124399,2012-F845,15세이상관람가
0,20122784,2013-MF00087,15세이상관람가
0,20134124,2013-MF00683 ,청소년관람불가
0,20124059,2013-MF00055,청소년관람불가
0,20131263,2013-MF00686 ,청소년관람불가
0,20137043,2014-MF00012 ,15세이상관람가
0,20133322,2014-MF00410 ,청소년관람불가
0,20134082,2014-MF00756 ,청소년관람불가
0,20147129,2014-MF01066 ,15세이상관람가
0,20131262,2014-MF01387 ,12세이상관람가
0,20101223,2010-F493,12세이상관람가
0,20100326,2010-F270,15세이상관람가
0,20100305,2010-F334,15세이상관람가
0,20112272,2011-F472,15세이상관람가
0,20110296,2011-F331,15세이상관람가
0,20119627,2011-F169,15세이상관람가
0,20100075,2010-F66,청소년관람불가
0,19830138,83-21,국민학생관람불가
0,20155381,2017-MF00333,15세이상관람가
0,20162546,2016-MF01573,청소년관람불가
0,20167905,2017-MF00360,15세이상관람가
0,19730051,,15세이상관람가
0,19710120,,12세이상관람가
0,20081067,,전체관람가
0,19720098,,12세이상관람가
0,19710006,,전체관람가
0,19710231,,12세이상관람가
0,19730043,,15세이상관람가
0,19730042,,15세이상관람가
0,20090664,2009-F323,12세이상관람가
1,20090664,2016-MF02077,12세이상관람가
0,20149839,2014-MF00670 ,청소년관람불가
0,20100363,2010-F250,12세이상관람가
0,20161366,2017-MF00176,12세이상관람가
0,19860007,85-78,연소자관람불가
0,20154342,2016-MF01658,12세이상관람가
0,20167008,2017-MF00206,청소년관람불가
0,20170041,2016-MF01489,청소년관람불가
0,20150971,2017-MF00146,15세이상관람가
0,20124050,2012-F114,15세이상관람가
0,19760004,,전체관람가
0,19760099,,12세이상관람가
0,19730101,,12세이상관람가
0,19730110,,12세이상관람가
0,19740003,,전체관람가
0,19740008,,전체관람가
0,19740136,,12세이상관람가
0,19740137,,12세이상관람가
0,19750021,,12세이상관람가
0,19730008,,전체관람가
0,19730023,,12세이상관람가
0,20020065,2002-F004,18세관람가
0,19720102,,12세이상관람가
0,20110249,2011-F738,15세이상관람가
0,20128271,2012-F568,15세이상관람가
0,20119974,2011-F143,15세이상관람가
0,20110233,2011-F265,15세이상관람가
0,19710138,,12세이상관람가
0,19710141,,12세이상관람가
0,19710088,,12세이상관람가
0,19710075,,12세이상관람가
0,19710078,,12세이상관람가
0,19940346,94-345,고등학생이상관람가
0,20168612,2017-MF00246,청소년관람불가
0,20158982,2016-MF00760 ,15세이상관람가
0,20152746,2016-MF00316 ,청소년관람불가
0,20040475,2004-F046,15세관람가
0,20101222,2010-F511 ,청소년관람불가
0,20154910,2016-MF01102 ,12세이상관람가
0,20147176,2014-MF01304 ,15세이상관람가
0,20150901,2016-MF01049 ,15세이상관람가
0,20123383,2013-MF00593 ,청소년관람불가
0,20125920,2012-F556,청소년관람불가
0,20123501,2014-MF00664 ,15세이상관람가
0,20081716,2008-F461,청소년관람불가
0,20141224,2015-MF00492,15세이상관람가
0,20145171,2015-MF01452 ,12세이상관람가
0,20163019,2016-MF02152,15세이상관람가
0,20164527,2016-MF01933,전체관람가
0,19950233,95-197,중학생이상관람가
0,20080856,93-451,고등학생이상관람가
0,20050250,2004-F232,15세관람가
1,20050250,2016-MF01755,15세이상관람가
0,20161744,2016-MF02151,전체관람가
1,20161744,2017-MF00248,전체관람가
0,20145507,2016-MF00032 ,15세이상관람가
0,20163521,2016-MF01578,15세이상관람가
0,20157466,2015-MF01631 ,12세이상관람가
0,20153401,2016-MF01893,전체관람가
0,20154906,2016-MF00918 ,15세이상관람가
0,20158242,2016-MF00481 ,15세이상관람가
0,20150902,2016-MF00358 ,12세이상관람가
0,20166127,2016-MF01048 ,청소년관람불가
0,20150972,2016-MF00666 ,15세이상관람가
0,20088506,2012-F889,15세이상관람가
0,19730002,,전체관람가
0,19738119,,청소년관람불가
0,19730028,,15세이상관람가
0,19740005,,전체관람가
0,19748213,,
0,19750003,,전체관람가
0,19750088,,12세이상관람가
0,19750108,,12세이상관람가
0,19760093,,12세이상관람가
0,19760102,,12세이상관람가
0,19900106,90-164,연소자관람가
0,19940049,94-74,연소자관람불가
0,20157064,2016-MF01905,15세이상관람가
0,19600018,2010-F201,15세이상관람가
1,19600018,,청소년관람불가
0,20138226,2014-MF00140 ,12세이상관람가
0,20133682,2015-MF00181,청소년관람불가
0,20148840,2014-MF00418 ,청소년관람불가
0,20130442,2014-MF00423 ,15세이상관람가
0,20141589,2016-MF00172 ,12세이상관람가
0,20148449,2015-MF00479 ,청소년관람불가
0,20080893,,15세이상관람가
0,20050038,2005-F059,전체관람가
1,20050038,2016-MF01982,전체관람가
0,20080895,,12세이상관람가
0,20080899,,국민학생관람불가
0,20080909,,연소자관람불가
0,20080902,6083,연소자관람불가
0,20080908,6122,
0,20080904,6281,연소자관람불가
0,20080903,6292,연소자관람불가
0,20161364,2016-MF00011 ,15세이상관람가
0,20149314,2015-MF01214 ,청소년관람불가
0,20030399,2003-F306,12세관람가
0,19770051,,12세이상관람가
0,20070023,2007-F106,청소년관람불가
0,20168609,2016-MF01492,청소년관람불가
0,20060228,2006-F150,18세관람가
0,20020226,2002-F227,18세관람가
0,20159657,2016-MF00092 ,전체관람가
0,20148685,2015-MF00190 ,15세이상관람가
0,20130574,2014-MF01341 ,전체관람가
0,20148553,2015-MF00015 ,15세이상관람가
0,20147931,2014-MF00600 ,15세이상관람가
0,20148461,2015-MF00207 ,청소년관람불가
0,20147930,2014-MF00995 ,15세이상관람가
0,20158481,2015-MF00869 ,15세이상관람가
0,20156321,2015-MF00311 ,15세이상관람가
0,20010005,2001-F335,18세관람가
0,20010031,2001-F117,18세관람가
0,20061221,2008-F433,청소년관람불가
0,20081132,2008-F291,12세이상관람가
0,20071675,2008-F17,15세이상관람가
0,20070291,2008-F97,15세이상관람가
0,20070466,2007-F446,청소년관람불가
0,20070500,2007-F388,15세이상관람가
0,20060230,2007-F167,12세이상관람가
0,20070126,2007-F121,전체관람가
0,20070109,2007-F112,전체관람가
0,20060373,2006-F387,15세이상관람가
0,20060244,2006-F266,15세관람가
0,20060070,2006-F141 ,18세관람가
0,20143511,2015-MF00565 ,15세이상관람가
0,20101038,2010-F417,전체관람가
0,20100474,2010-F277,12세이상관람가
0,19970089,97-20,고등학생이상관람가
1,19970089,2016-MF02040,15세이상관람가
0,20151944,2016-MF01945,15세이상관람가
0,20165144,2016-MF00903,청소년관람불가
0,20156080,2016-MF00074 ,15세이상관람가
0,20179481,2017-MF00037,청소년관람불가
0,20090427,2009-F254,15세이상관람가
0,20088318,2012-F354 ,청소년관람불가
0,20090874,2009-F373,12세이상관람가
0,20090895,2009-F459,15세이상관람가
0,20090160,2010-F32,15세이상관람가
0,20090927,2010-F187,청소년관람불가
0,20100209,2010-F244,청소년관람불가
0,20101004,2010-F415,12세이상관람가
0,20164105,2016-MF00802,청소년관람불가
0,20156670,2016-MF00582 ,청소년관람불가
0,20157631,2016-MF01664,15세이상관람가
0,20080750,2008-F426,12세이상관람가
0,19740134,,12세이상관람가
0,19890291,89-349,연소자관람불가
1,19890291,2016-MF01776,15세이상관람가
0,19800040,5904,국민학생관람불가
0,20090724,2009-F384,12세이상관람가
0,20090500,2009-F293,15세이상관람가
0,20050241,2005-F227,
0,20145486,2016-MF02116,15세이상관람가
0,20070418,2007-F313,전체관람가
0,20060088,2006-F093,12세관람가
0,20150966,2016-MF01616,12세이상관람가
0,20163285,2016-MF00719 ,전체관람가
0,20168148,2016-MF00608,청소년관람불가
0,20090065,2009-F35,청소년관람불가
0,20090438,2009-F246,12세이상관람가
0,20090605,2009-F343,전체관람가
0,20090305,2009-F386,청소년관람불가
0,20090311,2009-F422,청소년관람불가
0,20070289,2007-F286 ,청소년관람불가
0,20070367,2007-F281,청소년관람불가
0,20070421,2007-F318,15세이상관람가
0,20070380,2007-F324,전체관람가
0,20070434,2007-F329,15세이상관람가
0,20040762,2004-F324,15세관람가
0,20072520,2007-F474,청소년관람불가
0,20070610,2007-F487,15세이상관람가
0,20071064,2008-F4,15세이상관람가
0,20070660,2007-F525,15세이상관람가
0,20081001,2008-F318,15세이상관람가
0,20071067,2008-F28,전체관람가
0,20090051,2009-F230,12세이상관람가
0,20090308,2009-F296,15세이상관람가
0,20090225,2009-F122,15세이상관람가
0,20060292,2006-F291 ,15세관람가
0,20060261,2006-F304,15세관람가
0,20060352,2006-F352 ,15세이상관람가
0,20060273,2006-F236,15세관람가
0,20060339,2006-F369,15세이상관람가
0,20060403,2006-F412,12세이상관람가
0,20060407,2006-F420,12세이상관람가
0,20070015,2007-F011,12세이상관람가
0,20080736,2008-F223,15세이상관람가
0,20070104,2007-F108 ,15세이상관람가
0,20070637,2007-F490,청소년관람불가
0,20070089,2007-F264,12세이상관람가
0,19930101,93-56,고등학생이상관람가
0,20070151,2007-F139,15세이상관람가
0,20070084,2007-F075,12세이상관람가
0,19880016,87-215,미성년자관람불가
0,20090733,6019,연소자관람불가
0,20060019,2006-F026 ,15세관람가
0,20060225,2006-F238,18세관람가
0,20050010,2005-F020,15세관람가
0,20158705,2016-MF00098 ,15세이상관람가
0,20050078,2005-F095,15세관람가
0,20050008,2005-F016,12세관람가
0,20050135,2005-F148,15세관람가
0,20040755,2004-F342,12세관람가
0,20050083,2005-F107,15세관람가
0,20070042,2007-F045,15세이상관람가
0,20070066,2007-F086,청소년관람불가
0,20070097,2007-F088,12세이상관람가
0,20070111,2007-F119,전체관람가
0,20070205,2007-F206,청소년관람불가
0,20050363,2006-F008 ,15세관람가
0,20050354,2005-F355,15세관람가
0,20060025,2006-F022,18세관람가
0,20060046,2006-F050,15세관람가
0,20060047,2006-F041,18세관람가
0,20060055,2006-F057,15세관람가
0,20060068,2006-F043,18세관람가
0,20060081,2005-F322,18세관람가
0,19860036,85-30,연소자관람불가
0,19830095,,연소자관람불가
0,19820085,6079,연소자관람불가
0,19810024,5991,국민학생관람불가
0,19800024,,연소자관람불가
0,19780042,,12세이상관람가
0,19750076,,청소년관람불가
0,19750103,,12세이상관람가
0,20040744,2004-F375,전체관람가
0,20050046,2005-F113,15세관람가
0,20050233,2005-F247 ,15세관람가
0,20040776,2004-F344,15세관람가
0,20040555,2004-F136,15세관람가
0,20040649,2004-F258,12세관람가
0,20040490,2004-F134,12세관람가
0,20040596,2004-F215,12세관람가
0,20060085,2006-F095 ,12세관람가
0,20060093,2006-F115 ,12세관람가
0,20060207,2006-F222 ,15세관람가
0,20060208,2006-F228 ,15세관람가
0,20060191,2006-F215,12세관람가
0,20060227,2006-F235 ,15세관람가
0,20060248,2006-F249 ,18세관람가
0,20060242,2006-F230,18세관람가
0,20060234,2006-F256 ,18세관람가
0,20040597,2004-F204,12세관람가
0,20040641,2004-F276,15세관람가
0,20040700,2004/-F/26,18세관람가
0,20040580,2004-F144,15세관람가
0,20040657,2004-F308,15세관람가
0,20040595,2004-F173,15세관람가
0,20040717,2004-F352,18세관람가
0,20040593,2004-F214,15세관람가
0,20040655,2004-F269,15세관람가
0,20040659,2004-F226,15세관람가
0,20040651,2004-F261,12세관람가
0,20123333,2012-F963 ,15세이상관람가
0,20161603,2016-MF01597,전체관람가
0,20060363,2006-F302,12세관람가
0,20010010,2001-F311,12세관람가
0,20137981,2014-MF00183 ,청소년관람불가
0,20040628,2004-F273,15세관람가
0,20040775,2004-F375,12세관람가
0,20050011,2005-F025,15세관람가
0,20040778,2005-F036,15세관람가
0,20050110,2005-F121,18세관람가
0,20050178,2005-F202,15세관람가
0,20050160,2005-F199,15세관람가
0,20050282,2005-F279 ,18세관람가
0,20050323,2005-F241,18세관람가
0,20050346,2005-F362,15세관람가
0,20030138,2003-F224,15세관람가
0,20030132,2003-F223,15세관람가
0,20030154,2003-F266,15세관람가
0,20030152,2003F277,15세관람가
0,20030397,2003-F309,15세관람가
0,20030410,2003-F332,15세관람가
0,20040482,2004-F072,15세관람가
0,20040585,2004-F188,12세관람가
0,20040586,2004-F182,12세관람가
0,20040613,2004-F224,15세관람가
0,20040619,2004-F254,전체관람가
0,20020193,2002-F175,12세관람가
0,20020204,2002-F191,15세관람가
0,20020245,2002-F257,15세관람가
0,20020280,2002-F306,15세관람가
0,20020220,2002-F320,15세관람가
0,20030004,2003-F017,12세관람가
0,20030014,2003-F035,전체관람가
0,20122235,2016-MF00730,15세이상관람가
0,20165203,2016-MF01458,청소년관람불가
0,20163107,2016-MF01546,전체관람가
1,20163107,2016-MF01547,전체관람가
0,20030120,2003-F080,12세관람가
0,20030052,2003-F096,15세관람가
0,20030063,2003-F114,12세관람가
0,20030061,2003-F108,18세관람가
0,20030100,2003-F184,12세관람가
0,20030107,2003-F198,15세관람가
0,20158795,2015-MF01244 ,15세이상관람가
0,19710123,,12세이상관람가
0,20010051,2001-F006,15세관람가
0,20010035,2001-F106,15세관람가
0,20010011,2001-F318,12세관람가
0,20020103,2002-F058,18세관람가
0,20000024,2000-F039,12세관람가
0,20000005,2000-F240,12세관람가
0,19748212,,
0,19740129,,12세이상관람가
0,19750068,,15세이상관람가
0,20101126,,15세이상관람가
0,19770050,,12세이상관람가
0,19780004,,12세이상관람가
0,19800003,,국민학생관람불가
0,19790039,,국민학생관람불가
0,19790058,,국민학생관람불가
0,19790037,,국민학생관람불가
0,19800054,5915,연소자관람불가
0,20160472,2016-MF01771,청소년관람불가
0,19800031,5892,국민학생관람불가
0,19820027,6036,국민학생관람불가
0,19810048,6028,국민학생관람불가
0,19830045,6152,국민학생관람불가
0,19830062,,연소자관람불가
0,19870057,87-142,고등학생이상관람가
0,20162927,2016-MF01416,전체관람가
0,20149569,2015-MF00451,15세이상관람가
0,20136869,2015-MF00504 ,15세이상관람가
0,20060421,2007-F033,청소년관람불가
0,20163041,2016-MF01220,15세이상관람가
0,20155387,2016-MF00792,청소년관람불가
0,20060021,2006-F014,12세관람가
0,20148620,2014-MF01276 ,15세이상관람가
0,20162022,2016-MF01242,15세이상관람가
0,20150564,2016-MF01485,15세이상관람가
0,20155385,2016-MF01476,12세이상관람가
0,20148460,2016-MF00946 ,15세이상관람가
0,20145396,2016-MF00206,청소년관람불가
0,20040743,04-F316,15세관람가
0,20158359,2016-MF01319,전체관람가
0,20040479,2004-F055,15세관람가
0,20130243,2013-MF00481 ,청소년관람불가
0,20143252,2015-MF00131,청소년관람불가
0,20162969,2016-MF01256,전체관람가
0,20161021,2016-MF01148,청소년관람불가
0,20140723,2016-MF00704 ,전체관람가
0,19990114,K98-315,12세 미만인 자는 관람할 수 없는 등급
0,20000249,2000-F263,15세관람가
0,20149458,2014-MF00564 ,청소년관람불가
0,20149441,2014-MF00776,청소년관람불가
0,19990303,99-F154,18세관람가
1,19990303,2016-MF01395,청소년관람불가
0,19950291,95-286,연소자관람불가
0,20163701,2016-MF00740,12세이상관람가
0,20163020,2016-MF00738,12세이상관람가
0,20152321,2016-MF00208 ,청소년관람불가
1,20152321,2016-MF00207 ,청소년관람불가
0,19930105,93-68,중학생이상관람가
0,19700007,,12세이상관람가
0,19850093,,연소자관람불가
0,19920259,92-300,중학생이상관람가
0,19800098,,연소자관람불가
0,20081678,89-389,연소자관람가
0,19970090,97-9,고등학생이상관람가
0,20119509,2012-F462,15세이상관람가
1,20119509,2012-F545,15세이상관람가
0,20153085,2016-MF00886 ,청소년관람불가
0,20142221,2016-MF00660 ,12세이상관람가
0,20101224,2010-F481,전체관람가
0,20127595,2013-MF00628 ,15세이상관람가
0,19840090,,연소자관람가
0,19800093,,국민학생관람불가
0,19770094,,
0,20142856,2015-MF00633,청소년관람불가
0,20081737,2009-F114,12세이상관람가
0,20160761,2016-MF01298,청소년관람불가
0,20080747,2009-F312 ,15세이상관람가
0,20154429,2016-MF01190,15세이상관람가
0,19800134,5967,연소자관람불가
0,19770061,,12세이상관람가
0,19790056,,국민학생관람불가
0,19860058,86-153,연소자관람불가
0,20141591,2016-MF00936 ,12세이상관람가
0,20150970,2016-MF00804 ,15세이상관람가
0,20148384,2016-MF01044 ,15세이상관람가
0,19678024,,
0,20154881,2016-MF01090 ,15세이상관람가
0,20160041,2016-MF01385,15세이상관람가
0,20111399,2011-F561,15세이상관람가
0,20152105,2016-MF01167 ,15세이상관람가
0,20160361,2016-MF01375,청소년관람불가
0,19960115,96-49,고등학생이상관람가
0,20148587,2014-MF00605 ,15세이상관람가
0,20162021,2016-MF00222,청소년관람불가
0,20080077,2008-F91,청소년관람불가
0,19850074,6362,연소자관람불가
0,20156281,2015-MF00076 ,청소년관람불가
0,20168146,2016-MF01135,청소년관람불가
0,20150258,2016-MF00633 ,전체관람가
0,20145182,2016-MF00433 ,15세이상관람가
0,20159772,2016-MF00129 ,청소년관람불가
0,20165961,2016-MF00955 ,전체관람가
0,20123082,2014-MF00857 ,15세이상관람가
0,20153311,2015-MF00930 ,전체관람가
0,20137526,2013-MF00838 ,12세이상관람가
0,19820106,,연소자관람가
0,19920054,92-196,연소자관람불가
0,20070020,2007-F039,12세이상관람가
0,20167003,2016-MF00850,청소년관람불가
0,20159641,2016-MF00333 ,15세이상관람가
0,19880192,88-279,연소자관람불가
0,19880120,88-101,중학생이상관람가
0,20050245,2005-F251 ,15세관람가
0,20153316,2015-MF00142 ,전체관람가
0,19950121,95-53,고등학생이상관람가
0,20070422,2007-F299,12세이상관람가
0,20124065,2012-F328,15세이상관람가
0,20081006,2009-F4,12세이상관람가
0,20081672,2008-F434,12세이상관람가
0,20155388,2016-MF00453 ,12세이상관람가
0,20156748,2015-MF01259 ,15세이상관람가
0,20139881,2013-MF00985 ,15세이상관람가
0,20081668,2008-F283,12세이상관람가
0,20161662,2016-MF00013 ,청소년관람불가
0,20165441,2016-MF00795 ,청소년관람불가
0,20131521,2013-MF00281 ,청소년관람불가
0,20162581,2016-MF00259 ,12세이상관람가
0,19850053,,연소자관람가
0,19840044,84-10,연소자관람가
0,20156807,2015-MF01490 ,전체관람가
0,20010029,2001-F185,18세관람가
0,20010040,2001-F071,18세관람가
0,20143509,2016-MF00485 ,15세이상관람가
0,20165042,2016-MF00771 ,12세이상관람가
0,20155390,2016-MF00685 ,청소년관람불가
0,19900237,90-178,고등학생이상관람가
1,19900237,2013-MF00587 ,15세이상관람가
0,20070095,2006-F213,18세관람가
0,20000034,2000-F274,18세관람가
0,19920143,92-55,연소자관람불가
0,20148851,2015-MF00751 ,15세이상관람가
0,20100281,2010-F327,청소년관람불가
0,20152782,2016-MF00363 ,청소년관람불가
0,20159645,2016-MF00527 ,15세이상관람가
0,20040468,2004-F012,15세관람가
0,20000055,2000-F327,15세관람가
0,19950027,95-130,연소자관람불가
0,19990069,99-F066,12세관람가
0,19880052,88-220,중학생이상관람가
0,20040625,2004-F212,18세관람가
0,20137041,2013-MF00240,청소년관람불가
0,19970022,97-213,연소자관람불가
0,20060222,2006-F241,15세관람가
0,20060356,2006-F362,12세이상관람가
0,20157441,2016-MF00073 ,15세이상관람가
0,20135915,2014-MF01140 ,청소년관람불가
0,20102415,2011-F37,12세이상관람가
0,20060015,2006-F019,12세관람가
0,20040489,2004-F110,18세관람가
0,20040688,2004-F275,15세관람가
0,20030125,2003-F190,15세관람가
0,20072148,2008-F135,청소년관람불가
0,20164541,2016-MF00762 ,청소년관람불가
0,20132807,2013-MF00662 ,12세이상관람가
0,19990140,99-035,모든 관람객이 관람할 수 있는 등급
1,19990140,2016-MF00180 ,전체관람가
0,20155335,2015-MF01670,15세이상관람가
0,20130785,2016-MF00675 ,청소년관람불가
0,20070316,2007-F236,12세이상관람가
0,20101010,2010-F431,15세이상관람가
0,20145506,2016-MF00304 ,15세이상관람가
0,20152064,2015-MF01210 ,15세이상관람가
0,20068576,2015-MF01578 ,15세이상관람가
0,20145504,2015-MF01103 ,15세이상관람가
0,20070504,2007-F427,12세이상관람가
0,20020236,2002-F346,18세관람가
0,19970037,97-116,연소자관람불가
0,20081727,2008-F492,전체관람가
0,20072687,2007-F545,15세이상관람가
0,19990217,99-F047,18세관람가
0,20100302,2010-F409,청소년관람불가
0,20080764,2008-F274,15세이상관람가
0,20040554,2004-F230,15세관람가
0,20159627,2016-MF00472 ,15세이상관람가
0,20158744,2016-MF00594 ,12세이상관람가
0,20119397,2011-F42,전체관람가
0,20100296,2010-F215,12세이상관람가
0,20100835,2010-F343 ,12세이상관람가
0,19820019,2011-F53,15세이상관람가
0,20110193,2011-F175,15세이상관람가
0,20124074,2012-F177,12세이상관람가
0,20113535,2011-F697,15세이상관람가
0,20090156,2009-F73,15세이상관람가
0,20128690,2013-MF00006 ,청소년관람불가
0,20126672,2013-MF00219,15세이상관람가
0,20136888,2014-MF01448 ,청소년관람불가
0,20151021,2016-MF00018 ,12세이상관람가
0,19800057,5919,연소자관람불가
0,20090101,88-218,고등학생이상관람가
0,20101232,2011-F20,15세이상관람가
0,20157464,2015-MF01097 ,15세이상관람가
0,20060071,2006-F129,12세관람가
0,20050049,2005-F060,15세관람가
0,20010094,2001-F249,15세이상관람가
0,20124938,2013-MF00811 ,15세이상관람가
0,20162461,2016-MF00613 ,전체관람가
