,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
3166,20147929,메이드 인 차이나,Made in China,2014.0,20150625.0,장편,개봉,한국,드라마,한국,드라마,김동후,(주)김기덕 필름
3167,20137564,파티51,51+,2013.0,20141211.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,정용택,51+ 필름 
3168,20113567,투 올드 힙합 키드,Too Old HipHop Kid,2011.0,20120913.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,정대건,다카포필름
3169,20126001,백야,White Night,2012.0,20121115.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이송희일,(주)시네마달
3170,20121072,남쪽으로 간다,Going South ,2012.0,20121115.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이송희일,(주)시네마달
3171,20090785,반드시 크게 들을 것,Turn It Up To 11,2009.0,20100422.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,백승화,빅풋필름
3172,20072145,하늘을 걷는 소년,Da Capo,2008.0,20081023.0,장편,개봉,한국,드라마,한국,드라마,노진수,(주)조이슈즈
3173,20124398,설해,Snow In Sea Breeze,2013.0,20150108.0,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,김정권,(주)맑음영화사
3174,19950222,금옥만당 ,The Chinese Feast,1994.0,19950624.0,장편,개봉,홍콩,코미디,홍콩,코미디,서극,매그넘 필름즈
3175,19960187,바베트의 만찬 ,Babette'S Feast,1988.0,19960601.0,장편,개봉,덴마크,드라마,덴마크,드라마,가브리엘 악셀,데트 단스케 필름인스튜트
3176,20141612,꿈보다 해몽,A Matter of Interpretation,2014.0,20150212.0,장편,개봉,한국,"드라마,코미디",한국,드라마,이광국,영화사 벽돌
3177,20133641,경주,Gyeong-ju,2014.0,20140612.0,장편,개봉,한국,"드라마,코미디,멜로/로맨스",한국,드라마,장률,(주)인벤트스톤
3178,19870089,용형호제 ,Jackie Chan In The Armour Of God,1986.0,19870101.0,장편,개봉,홍콩,"액션,어드벤처,코미디",홍콩,액션,성룡,골든하베스트
3179,20060211,라스트 키스,The Last Kiss,2001.0,20060706.0,장편,개봉,이탈리아,"멜로/로맨스,드라마",이탈리아,멜로/로맨스,가브리엘 무치노,판당고
3180,19800035,뭔가 보여드리겠읍니다,Let Me Show You Something,1980.0,19800606.0,장편,개봉,한국,코미디,한국,코미디,김수형,(주)화천공사
3181,20159748,투모로우랜드,Tomorrowland,2014.0,20150527.0,장편,개봉,미국,"액션,어드벤처,미스터리,SF",미국,액션,브래드 버드,월트 디즈니 픽쳐스
3182,19910305,황비홍,Once Upon A Time In China,1991.0,19911026.0,장편,개봉,홍콩,"액션,어드벤처,드라마",홍콩,액션,서극,골든하베스트
3183,20050203,로렌조의 밤,The Night Of San Lorenzo,1982.0,20050819.0,장편,개봉,이탈리아,드라마,이탈리아,드라마,파올로 타비아니,라디오텔레비지오네 이탈리아나
3184,20100974,엉클 분미,Uncle Boonmee,2010.0,20100916.0,장편,개봉,"태국,영국,프랑스,독일,스페인,네덜란드","판타지,드라마",태국,판타지,아핏차퐁 위라세타쿤,일루미네이션스필름
3185,20040579,블러디 선데이,Bloody Sunday,2002.0,20040618.0,장편,개봉,영국,드라마,영국,드라마,폴 그린그래스,보드스캐넌에이린
3186,20050139,인 디스 월드,In This World,2002.0,20050707.0,장편,개봉,영국,드라마,영국,드라마,마이클 윈터바텀,비비씨필름즈
