,movieCd,movieNm,url
25,20196672,럭키 몬스터,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20201112_281%2F1605160677106alosf_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
26,20211472,늑대사냥,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220921_197%2F1663737442956Ugu4T_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
27,20194461,파이프라인,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210526_164%2F1622018439127m1L49_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
28,20187981,배심원들,
29,20179006,여곡성,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20181017_83%2F15397650480164Sm4J_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
30,19860053,여곡성,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20181017_83%2F15397650480164Sm4J_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
31,20211382,오마주,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220426_287%2F1650950769337jn9SY_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
32,20196675,젊은이의 양지,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20201028_186%2F1603848772531AxYDg_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
33,19518016,젊은이의 양지,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20201028_186%2F1603848772531AxYDg_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
34,20215108,용루각2: 신들의 밤,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210128_206%2F1611825286502CtYO6_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
35,20110131,에일리언 비키니,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_111%2F1324642860540ERCmv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
36,20208101,대무가,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220923_242%2F1663899011738ixnK6_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
37,20060066,리바운드,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_201%2F1324473159042dMxTc_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
38,20211546,같은 속옷을 입는 두 여자,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20221101_190%2F1667286545565c1gli_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
39,20150966,사랑하기 때문에,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170104_177%2F1483511463785599vQ_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
40,20145506,해어화,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20160315_83%2F1458005336985N5WEE_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
