,movieCd,showTime
0,20209343,129.0
1,20190323,114.0
2,20182490,109.0
3,20150976,139.0
4,20162181,124.0
5,20152371,110.0
6,20178401,100.0
7,20191121,89.0
8,20183085,94.0
9,20191845,90.0
10,20100296,120.0
11,20196701,99.0
12,20191221,100.0
13,20060005,100.0
14,20050064,102.0
15,20020164,107.0
16,20198461,128.0
17,19790068,120.0
18,20139164,98.0
19,19770048,105.0
20,19760030,106.0
21,19740136,106.0
22,19740137,109.0
23,20080895,112.0
24,20208721,87.0
25,20196672,92.0
26,20211472,121.0
27,20194461,107.0
28,20187981,113.0
29,20179006,94.0
30,19860053,95.0
31,20211382,108.0
32,20196675,113.0
33,19518016,122.0
34,20215108,91.0
35,20110131,75.0
36,20208101,107.0
37,20060066,86.0
38,20211546,139.0
39,20150966,110.0
40,20145506,120.0
41,20147176,127.0
42,20224717,96.0
43,20197853,108.0
44,20070010,98.0
45,20040554,95.0
46,20040613,106.0
47,20040514,132.0
48,20175547,133.0
49,20170942,138.0
50,20177005,109.0
51,20160483,104.0
52,20157064,94.0
53,20156564,118.0
54,20090023,119.0
55,20168247,115.0
56,20173612,81.0
57,20159648,129.0
58,20158705,116.0
59,20081648,100.0
60,20218527,125.0
61,20191422,112.0
62,20185341,125.0
63,20136864,91.0
64,20188441,123.0
65,20183782,131.0
66,20188421,113.0
67,20197846,127.0
68,20170658,124.0
69,20161681,90.0
70,20161726,114.0
71,20142855,116.0
72,20130442,110.0
73,20137041,88.0
74,20121741,90.0
75,20113554,121.0
76,20124050,117.0
77,20119619,117.0
78,20101221,118.0
79,20100787,80.0
80,20090667,111.0
81,20081718,107.0
82,20080052,144.0
83,20072520,120.0
84,20060280,108.0
85,20060025,104.0
86,20050086,118.0
87,20040515,110.0
88,20030015,108.0
89,20030014,107.0
90,20020242,106.0
91,20020303,105.0
92,20020197,99.0
93,20020054,120.0
94,20090684,110.0
95,20209654,138.0
96,20211549,65.0
97,20199816,113.0
98,20195002,113.0
99,20183407,114.0
100,20090862,104.0
101,20219628,106.0
102,20208446,142.0
103,20178501,111.0
104,20204845,107.0
105,20204117,121.0
106,20201815,78.0
107,20217218,108.0
108,20197434,126.0
109,20193321,104.0
110,20198414,101.0
111,20195920,109.0
112,20177539,122.0
113,20176251,122.0
114,20177538,115.0
115,20153446,110.0
116,20161481,132.0
117,20158485,120.0
118,20159647,137.0
119,20167829,96.0
120,20161366,106.0
121,20150968,125.0
122,20145507,126.0
123,20156557,119.0
124,20140703,112.0
125,20134804,147.0
126,20123501,137.0
127,20138224,120.0
128,20126091,139.0
129,20124080,120.0
130,20119627,125.0
131,20090892,110.0
132,20081209,116.0
133,20070504,99.0
134,20200295,90.0
135,19990069,103.0
136,20196264,108.0
137,20186649,99.0
138,20182590,92.0
139,20209802,102.0
140,20200304,85.0
141,20197863,102.0
142,20177784,94.0
143,20180939,113.0
144,20183002,117.0
145,20192206,128.0
146,20191106,86.0
147,20185161,107.0
148,20181198,99.0
149,20174442,103.0
150,20154908,123.0
151,20173734,113.0
152,20179383,123.0
153,20174010,107.0
154,20178781,101.0
155,20170590,129.0
156,20169643,125.0
157,20162869,137.0
158,20168161,100.0
159,20161589,110.0
160,20154910,126.0
161,20161722,108.0
162,20152541,87.0
163,20157465,108.0
164,20148048,123.0
165,20148927,100.0
166,20132482,116.0
167,20124938,137.0
168,20134413,109.0
169,20050170,131.0
170,20134582,122.0
171,20124086,121.0
172,20124400,115.0
173,20113916,121.0
174,20119515,133.0
175,20110233,106.0
176,20175865,79.0
177,20212392,118.0
178,20210168,104.0
179,20190582,116.0
180,20193666,109.0
181,20191029,118.0
182,20174681,114.0
183,20180902,95.0
184,20183423,57.0
185,20160465,100.0
186,20154909,118.0
187,20154905,129.0
188,20151022,92.0
189,20148844,107.0
190,20148841,108.0
191,20138226,117.0
192,20119628,110.0
193,20119659,95.0
194,20061214,86.0
195,20050239,121.0
196,19800019,95.0
197,20050142,104.0
198,20040778,107.0
199,20040657,109.0
200,20030125,106.0
201,20020006,118.0
202,20010005,100.0
203,20010037,109.0
204,20010047,101.0
205,20000012,89.0
206,20205986,94.0
207,20173202,147.0
208,20206257,129.0
209,20224882,137.0
210,20191243,113.0
211,20196284,104.0
