,movieCd,prdtYear
0,20209343,2021.0
1,20190323,2020.0
2,20182490,2019.0
3,20150976,2017.0
4,20162181,2016.0
5,20152371,2016.0
6,20178401,2020.0
7,20191121,2019.0
8,20183085,2017.0
9,20191845,2015.0
10,20100296,2010.0
11,20196701,2019.0
12,20191221,2018.0
13,20060005,2006.0
14,20050064,2005.0
15,20020164,2002.0
16,20198461,2020.0
17,19790068,1979.0
18,20139164,2014.0
19,19770048,1977.0
20,19760030,1976.0
21,19740136,1974.0
22,19740137,1974.0
23,20080895,1974.0
24,20208721,2022.0
25,20196672,2019.0
26,20211472,2022.0
27,20194461,2021.0
28,20187981,2019.0
29,20179006,2018.0
30,19860053,1986.0
31,20211382,2021.0
32,20196675,2019.0
33,19518016,1951.0
34,20215108,2021.0
35,20110131,2011.0
36,20208101,2022.0
37,20060066,2005.0
38,20211546,2021.0
39,20150966,2016.0
40,20145506,2015.0
41,20147176,2014.0
42,20224717,2021.0
43,20197853,2020.0
44,20070010,2006.0
45,20040554,2004.0
46,20040613,2004.0
47,20040514,2004.0
48,20175547,2018.0
49,20170942,2018.0
50,20177005,2018.0
51,20160483,2016.0
52,20157064,2016.0
53,20156564,2016.0
54,20090023,2009.0
55,20168247,2017.0
56,20173612,2017.0
57,20159648,2016.0
58,20158705,2015.0
59,20081648,2008.0
60,20218527,2022.0
61,20191422,2019.0
62,20185341,2018.0
63,20136864,2013.0
64,20188441,2021.0
65,20183782,2019.0
66,20188421,2018.0
67,20197846,2018.0
68,20170658,2018.0
69,20161681,2017.0
70,20161726,2016.0
71,20142855,2015.0
72,20130442,2013.0
73,20137041,2012.0
74,20121741,2012.0
75,20113554,2012.0
76,20124050,2011.0
77,20119619,2011.0
78,20101221,2010.0
79,20100787,2010.0
80,20090667,2009.0
81,20081718,2008.0
82,20080052,2008.0
83,20072520,2007.0
84,20060280,2006.0
85,20060025,2006.0
86,20050086,2005.0
87,20040515,2004.0
88,20030015,2003.0
89,20030014,2003.0
90,20020242,2002.0
91,20020303,2002.0
92,20020197,2002.0
93,20020054,2002.0
94,20090684,2009.0
95,20209654,2022.0
96,20211549,2021.0
97,20199816,2020.0
98,20195002,2019.0
99,20183407,2019.0
100,20090862,2009.0
101,20219628,2022.0
102,20208446,2022.0
103,20178501,2022.0
104,20204845,2022.0
105,20204117,2021.0
