,peopleCd,peopleNm,movieCd,movieNm,cast
13477,20355598,황무영,20209343,한산: 용의 출현,좌수영전령
13572,20179005,공명,20209343,한산: 용의 출현,이억기
13719,20157197,김재영,20209343,한산: 용의 출현,정운
13929,20344594,최홍락,20209343,한산: 용의 출현,사헤에첩보대7
14088,20343971,이단,20209343,한산: 용의 출현,경상우수영 장수1
14165,10043785,안치욱,20209343,한산: 용의 출현,일본중
14349,20343545,정동근,20209343,한산: 용의 출현,준사 왜군포로1
14429,20343445,문승배,20209343,한산: 용의 출현,이운룡탐망병1
14622,20343390,위민국,20209343,한산: 용의 출현,고바야카와 부장2
14683,20196748,김영웅,20209343,한산: 용의 출현,정담
14816,10003647,김구택,20209343,한산: 용의 출현,김완
14976,20341959,고한민,20209343,한산: 용의 출현,안코쿠지
15128,20341864,고기영,20209343,한산: 용의 출현,세작1
15239,20341715,강신구,20209343,한산: 용의 출현,고바야카와 전령
15466,20139868,조현수,20209343,한산: 용의 출현,이운룡 부장2
15526,20335697,강덕중,20209343,한산: 용의 출현,이운룡탐망병2
15656,20338062,윤대열,20209343,한산: 용의 출현,마나베부장1
15797,20196450,김범석,20209343,한산: 용의 출현,이운룡부장
16025,10004052,김명곤,20209343,한산: 용의 출현,도도 다카도라 
16111,20249709,박혜영,20209343,한산: 용의 출현,기생6
16170,20111125,손현주,20209343,한산: 용의 출현,원균
16437,10026741,문숙,20209343,한산: 용의 출현,초계변씨(이순신 모) 
16488,20332597,배명진,20209343,한산: 용의 출현,원균부장
16623,20111061,서상원,20209343,한산: 용의 출현,권준부장
16740,20330752,배현성,20209343,한산: 용의 출현,김천손
16868,20231326,이서준,20209343,한산: 용의 출현,사헤에
17019,20142610,김기환,20209343,한산: 용의 출현,고문받는 왜군포로
17196,20315231,김태희,20209343,한산: 용의 출현,배흥립
17270,20171680,옥택연,20209343,한산: 용의 출현,임준영
17448,20203230,곽민호,20209343,한산: 용의 출현,권율부장
17566,20229218,김기호,20209343,한산: 용의 출현,사헤에첩보대1(사헤에부장)
17710,20218726,정연,20209343,한산: 용의 출현,와키자카부장2
17898,20195727,한상경,20209343,한산: 용의 출현,와키자카 부장3
18037,20159752,오지훈,20209343,한산: 용의 출현,와키자카 부장5
18141,20157226,김태근,20209343,한산: 용의 출현,보름아버지
18307,10006494,김효주,20209343,한산: 용의 출현,기생10
18441,20124881,강보라,20209343,한산: 용의 출현,기생7
18608,10062399,정현옥,20209343,한산: 용의 출현,이순신 탐망병
18664,20339145,윤승훈,20190323,새해전야,결혼사기 피해자
18706,20312494,유태오,20190323,새해전야,래환
18823,20221406,서현우,20190323,새해전야,효영 남편
18843,10057492,이준혁,20190323,새해전야,안코치
18959,10013826,라미란,20190323,새해전야,결혼박사 미란
19033,20374976,신동호,20190323,새해전야,야오린 친척들
19098,20374639,김유리,20190323,새해전야,지호 전아내
19153,20374638,진영빈,20190323,새해전야,호미곶 뽀뽀커플
