,movieCd,typeNm
353,20110303,장편
354,20119529,장편
355,20090237,장편
356,20070379,장편
357,20192354,장편
358,20183003,장편
359,20177552,장편
360,20124917,장편
361,20101399,장편
362,20180962,장편
363,20174369,장편
364,20178982,장편
365,20161568,장편
366,20151228,장편
367,20139261,장편
368,20199882,장편
369,20193069,장편
370,20209304,장편
371,20197922,장편
372,20179101,장편
373,20136068,장편
374,20137048,장편
375,20125333,장편
376,20124401,장편
377,20113743,장편
378,20110313,장편
379,20102415,장편
380,20100213,장편
381,20119971,장편
382,20090931,장편
383,20090156,장편
384,20071067,장편
385,20070433,장편
386,20070205,장편
387,20060100,장편
388,19750083,장편
389,20050232,장편
390,20050141,장편
391,20050017,장편
392,20040751,장편
393,20040486,장편
394,20030108,장편
395,20020248,장편
396,20020049,장편
397,19990084,장편
398,20090319,옴니버스
399,20151227,장편
400,20141002,장편
401,20148845,장편
402,20215601,장편
403,20184483,장편
404,20197092,장편
405,20188404,장편
406,20000100,장편
407,20182530,장편
408,20170513,장편
409,20179189,장편
410,20157501,장편
411,20139401,장편
412,20130561,장편
413,20121550,장편
414,20124055,장편
415,20110251,장편
416,20072152,장편
417,20217167,장편
418,20227352,장편
419,20199500,장편
420,20181983,장편
421,20179205,장편
422,20100353,장편
423,20072057,장편
424,20181167,장편
425,20185201,장편
426,20142402,장편
427,20150941,장편
428,20223456,장편
429,19990115,장편
430,20226739,장편
431,20200364,장편
432,20209926,장편
433,20193601,장편
434,20176122,장편
435,20145182,장편
436,20200523,장편
437,20191242,장편
438,20182466,장편
439,20225892,장편
440,20144641,장편
441,20136802,장편
442,20136312,장편
443,20148381,장편
444,20124062,장편
445,20100305,장편
446,19820021,장편
447,20100046,장편
448,20060420,장편
449,20060138,장편
450,20050345,장편
451,20050332,장편
452,20040484,장편
453,20030100,장편
454,20010007,장편
455,20000046,장편
456,20110183,옴니버스
457,20192101,장편
458,20175527,장편
459,20165444,장편
460,20160522,장편
461,20081132,장편
462,20136064,장편
463,19720089,장편
464,20148447,장편
465,20126001,장편
466,20121072,장편
467,20200474,장편
468,19870108,장편
469,20184621,장편
470,20153444,장편
471,20148855,장편
472,20133322,장편
473,20136057,장편
474,20124937,장편
475,20126407,장편
476,20113532,장편
477,20100209,장편
478,20100300,장편
479,20080736,장편
480,20080399,장편
481,20070421,장편
482,20070111,장편
483,20070084,장편
484,20060338,장편
485,20060277,장편
486,20060093,장편
487,20050333,장편
488,20050189,장편
489,20050076,장편
490,20040786,장편
491,20040595,장편
492,20040441,장편
493,20030153,장편
494,20030052,장편
495,20010094,장편
496,20020277,장편
497,20020220,장편
498,20020204,장편
499,20020065,장편
500,20010017,장편
501,20010027,장편
502,19990067,장편
503,19970018,장편
504,19850019,장편
505,20149266,장편
506,20129370,장편
507,20136062,장편
508,20121464,장편
509,20119687,장편
510,19850067,장편
511,20136058,옴니버스
512,20177308,장편
513,20165748,장편
514,20119719,장편
515,20119507,장편
516,19820019,장편
517,20112212,장편
518,20090076,장편
519,20060015,장편
520,20040775,장편
521,20040586,장편
522,20210029,장편
523,20217391,장편
524,20139981,장편
525,20124082,장편
526,20101190,장편
527,20207498,장편
528,20191282,장편
529,20199883,장편
530,20191107,장편
531,20181205,장편
532,20181168,장편
533,20173991,장편
534,20177981,장편
535,20151230,장편
536,20143717,장편
537,20135770,옴니버스
538,20158798,장편
539,20149298,장편
540,20125232,장편
541,20173388,장편
542,20196702,장편
543,20184187,장편
544,20186202,장편
545,20100301,장편
546,20090590,장편
547,20195791,장편
548,20185881,장편
549,20186324,장편
550,20164389,장편
551,20170669,장편
552,20173826,장편
553,20151003,장편
554,20154907,장편
555,20158483,장편
556,20142641,장편
557,20149569,장편
558,20156281,장편
559,20148553,장편
560,20135386,장편
561,20130483,장편
562,20137044,장편
563,20122784,장편
564,20134407,장편
565,20100043,장편
566,20081672,장편
567,20000049,장편
568,20197961,장편
569,20186707,장편
570,20196669,장편
571,20183391,장편
572,20188750,장편
573,20156554,장편
574,20179039,장편
575,20168323,장편
576,20162983,장편
577,20174042,장편
578,20201792,장편
579,20196705,장편
580,20184243,장편
581,20150977,장편
582,20148846,장편
583,20147282,장편
584,20123381,장편
585,20090670,장편
586,20080637,장편
587,20070042,장편
588,20070174,장편
589,20190621,장편
590,20185361,장편
591,20172642,장편
592,20163521,장편
593,20124060,장편
594,20000039,장편
595,19990061,장편
596,19970016,장편
597,19960049,장편
598,20116037,장편
599,20030402,장편
600,19990068,장편
601,19980019,장편
602,19970013,장편
603,19960034,장편
604,19950056,장편
605,19940063,장편
606,19930006,장편
607,19930020,장편
608,19920003,장편
609,19910059,장편
610,19910006,장편
611,20090138,장편
612,19890054,장편
613,19890011,장편
614,20090391,장편
615,19880029,장편
616,19880019,장편
617,19880011,장편
618,19880008,장편
619,20110014,장편
620,19870039,장편
621,20080698,장편
622,20080694,장편
623,19850039,장편
624,19830061,장편
625,19820036,장편
626,19800007,장편
627,19770056,장편
628,20127648,장편
629,20121086,단편
630,20225186,장편
631,20196201,장편
632,20178203,장편
633,20190969,장편
634,20209947,장편
635,20202921,장편
636,20181416,장편
637,20189326,장편
638,20217624,장편
639,20184082,장편
640,20177537,장편
641,20167902,장편
642,20150979,장편
643,20159644,장편
644,20143513,장편
645,20147947,장편
646,19900202,장편
647,20147930,장편
648,20139881,장편
649,20128690,장편
650,20125990,장편
651,20126089,장편
652,20124063,장편
653,20125916,장편
654,20124065,장편
655,20116038,장편
656,20101195,장편
657,20119341,장편
658,20119337,장편
659,20101223,장편
660,20090939,장편
661,20090146,장편
662,20090297,장편
663,20081003,장편
664,20081611,장편
665,20081391,장편
666,20072056,장편
667,20070091,장편
668,20060291,장편
669,20060151,장편
670,20050355,장편
671,20050148,장편
672,19770028,장편
673,20182447,장편
674,20174169,장편
675,20167901,장편
676,20175484,장편
677,20148627,장편
678,20100141,장편
679,20090331,장편
680,20072686,장편
681,20060341,장편
682,20144444,장편
683,19940030,장편
684,20224302,장편
685,20205521,장편
686,19810065,장편
687,20061225,장편
688,20050153,장편
689,20174601,장편
690,20183813,장편
691,20199448,장편
692,20164424,장편
693,20226585,장편
694,20210388,장편
695,20216241,장편
696,20205001,장편
697,20192751,장편
698,20188117,장편
699,20180401,장편
700,20223620,장편
701,20156188,장편
702,20198663,장편
703,19710120,장편
704,20181570,장편
705,20157503,장편
706,20172626,옴니버스
707,20190815,장편
708,20060137,장편
709,20209627,장편
710,20158799,장편
711,20159645,장편
712,20123161,장편
713,20124054,장편
714,19770088,장편
715,20124067,장편
716,20071060,장편
717,20070203,장편
718,20060279,장편
719,20136863,장편
720,20182585,장편
721,20178941,장편
722,20164844,장편
723,20131262,장편
724,20136052,장편
725,20090022,장편
726,20020103,장편
727,19970058,장편
728,20147129,장편
729,20110312,장편
730,20110906,장편
731,20216673,장편
732,20182352,장편
733,20139201,장편
734,20122783,장편
735,20100979,장편
736,20090557,장편
737,20060370,장편
738,20050350,장편
739,20050256,장편
740,20040673,장편
741,20030091,장편
742,19990066,장편
743,19980003,장편
744,19970020,장편
745,19970037,장편
746,19960055,장편
747,19940033,장편
748,20010038,장편
749,20188941,장편
750,20178161,장편
751,20126674,장편
752,20110249,장편
753,20110301,장편
754,20070115,장편
755,20070072,장편
756,20050046,장편
757,20040483,장편
758,20030046,장편
759,20020106,장편
760,20000044,장편
761,20000030,장편
762,19980030,장편
763,19970022,장편
764,19970048,장편
765,19960051,장편
766,20181086,장편
767,20165450,장편
768,20152064,장편
769,20134589,장편
770,20133641,장편
771,20138221,장편
772,20120426,장편
773,20124066,장편
774,20112911,장편
775,20110302,장편
776,20101343,장편
777,20090389,장편
778,20070104,장편
779,20050283,장편
780,20050110,장편
781,20020048,장편
782,19970049,장편
783,20100326,장편
784,20223415,장편
785,20160041,장편
786,20156250,장편
787,20148851,장편
788,20134590,장편
789,20124034,장편
790,20100188,장편
791,19600018,장편
792,20080743,장편
793,20050326,장편
794,20030133,장편
795,20020139,장편
796,20010011,장편
797,20000056,장편
798,20000005,장편
799,20000015,장편
800,19990073,장편
801,20090093,장편
802,19970036,장편
803,19970047,장편
804,19800051,장편
805,19960038,장편
806,19940005,장편
