,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys
76,20124050,화차,Helpless,20120308,한국,13,(주)영화제작소보임
77,20119619,체포왕,Officer of the Year,20110504,한국,7,(주)씨네이천
78,20101221,쩨쩨한 로맨스,Petty Romance,20101201,한국,7,(주)크리픽쳐스
79,20100787,옥희의 영화,Oki's Movie,20100916,한국,5,(주)영화제작전원사 
80,20090667,파주,Paju,20091028,한국,5,(주)티피에스컴퍼니
81,20081718,로맨틱 아일랜드,Romantic Island,20081224,한국,1,㈜스토리팩토리
82,20080052,밤과 낮,Night And Day,20080228,한국,5,(주)영화사봄
83,20072520,우리 동네,Our Town,20071129,한국,10,(주)오브젝트필름
84,20060280,잔혹한 출근,Educating Kidnappers,20061102,한국,7,㈜게이트픽쳐스
85,20060025,손님은 왕이다,The Customer Is Always Right,20060223,한국,5,조우필름(주)
86,20050086,사과,Sakwa,20081016,한국,5,영화사청어람(주)
87,20040515,인어 공주,"My Mother, The Mermaid",20040630,한국,5,나우필름(주)
88,20030015,쇼쇼쇼(Show Show Show),The Show,20030228,한국,1,도레미픽쳐스(주)
89,20030014,국화꽃 향기,Scent of Love,20030228,한국,5,(주)태원엔터테인먼트
90,20020242,보스 상륙 작전(Boss X File),Boss X File,20020906,한국,7,조이엔터테인먼트(주)
91,20020303,좋은사람있으면 소개시켜줘,A Perfect Match,20020808,한국,1,㈜영화세상
92,20020197,서프라이즈,Surprise Party,20020704,한국,1,(주)씨네이천
93,20020054,일단뛰어,Make It Big,20020509,한국,0,기획시대(주)
94,20090684,어떤 방문,Visitors,20091112,한국,5,(재)전주국제영화제조직위원회
95,20209654,헤어질 결심,Decision to Leave,20220629,한국,13,(주)모호필름
96,20211549,로그 인 벨지움,Log in Belgium,20211201,한국,6,태오닉 모 
97,20199816,담보,Pawn,20200929,한국,5,(주)제이케이필름
98,20195002,블랙머니,BLACK MONEY,20191113,한국,4,유한회사 질라라비
99,20183407,버티고,Vertigo,20191016,한국,5,영화사 도로시(주)
100,20090862,여배우들,The Actresses,20091210,한국,5,주식회사 뭉클픽쳐스
101,20219628,정직한 후보2,Honest Candidate 2,20220928,한국,7,(주)수필름
102,20208446,외계+인 1부,Alienoid,20220720,한국,0,(주)케이퍼필름
103,20178501,니 부모 얼굴이 보고 싶다,I want to know your parents ,20220427,한국,5,(주)더타워픽쳐스
104,20204845,공기살인,TOXIC,20220422,한국,5,(주)마스터원엔터테인먼트
105,20204117,모가디슈,Escape from Mogadishu,20210728,한국,0,(주)덱스터스튜디오
106,20201815,간호중,The Prayer,20211202,한국,9,(주)수필름
107,20217218,아이들은 즐겁다,KIDS ARE FINE,20210505,한국,5,(주)영화사울림
108,20197434,자산어보,The Book of Fish,20210331,한국,2,(주)씨네월드
109,20193321,정직한 후보,HONEST CANDIDATE,20200212,한국,7,(주)수필름
110,20198414,시동,START-UP,20191218,한국,5,(주)외유내강
111,20195920,가장 보통의 연애,Crazy Romance,20191002,한국,1,영화사 집
112,20177539,사바하,SVAHA : THE SIXTH FINGER,20190220,한국,13,(주)외유내강
113,20176251,내안의 그놈,The Dude in Me,20190109,한국,3,(주)에코필름
114,20177538,완벽한 타인,Intimate Strangers,20181031,한국,5,(주)필름몬스터
115,20153446,너의 결혼식,On Your Wedding Day,20180822,한국,1,(주)필름케이
116,20161481,군함도,The Battleship Island,20170726,한국,0,(주)외유내강
117,20158485,옥자,Okja,20170629,미국,14,플랜 비 엔터테인먼트
118,20159647,리얼,REAL,20170628,한국,0,(주)코브픽쳐스
119,20167829,마차 타고 고래고래,Blue Busking,20170518,한국,5,(주)광대무변
120,20161366,"그래, 가족",My Little Brother,20170215,한국,7,(주)청우필름
121,20150968,국가대표 2,RUN OFF,20160810,한국,5,케이엠컬쳐㈜
122,20145507,검사외전,A Violent Prosecutor,20160203,한국,4,(주)영화사 월광
123,20156557,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,20150924,한국,7,(주)크리픽쳐스
124,20140703,장수상회,Salut d’Amour ,20150409,한국,1,(주)빅픽쳐
125,20134804,타짜-신의 손,Tazza-The Hidden Card,20140903,한국,5,(주)싸이더스
126,20123501,군도: 민란의 시대,KUNDO : Age of the Rampant,20140723,한국,2,(주)영화사 월광
127,20138224,플랜맨,The Plan Man,20140109,한국,5,(주)영화사일취월장
128,20126091,관상,The Face Reader,20130911,한국,2,(주)주피터필름
129,20124080,나는 왕이로소이다,I am the King,20120808,한국,2,데이지엔터테인먼트
130,20119627,세상에서 가장 아름다운 이별,The Most Beautiful Goodbye,20110420,한국,5,(주)수필름
131,20090892,웨딩드레스,Wedding Dress,20100114,한국,5,(주)로드픽쳐스
132,20081209,낮술,Daytime Drinking,20090205,한국,7,스톤워크
133,20070504,스카우트,Scout,20071114,한국,5,㈜두루미필름
134,20200295,혼자 사는 사람들,Aloners,20210519,한국,5,한국영화아카데미
135,19990069,유령,Phantom The Submarine,19990731,한국,0,우노필름
136,20196264,유체이탈자,Spiritwalker,20211124,한국,3,(주)비에이엔터테인먼트
137,20186649,라이브 하드,Live Hard,20210225,한국,5,키치스필름
138,20182590,국도극장,Somewhere in Between,20200529,한국,5,명필름랩
139,20209802,국도극장: 감독판,Somewhere in Between,20200529,한국,5,명필름랩
140,20200304,테우리,Teuri,20200709,한국,5,(주)26컴퍼니
141,20197863,침입자,Intruder,20200604,한국,13,(주)비에이엔터테인먼트
142,20177784,침입자,Intruder: Visit From A Stranger,20171214,한국,4,(주)케이알씨지
143,20180939,남산의 부장들,The Man Standing Next,20200122,한국,5,(주)하이브미디어코프
144,20183002,해치지않아,SECRET ZOO,20200115,한국,7,(주)디씨지플러스
145,20192206,백두산,ASHFALL,20191219,한국,14,주식회사 덱스터 픽쳐스
146,20191106,영화로운 나날,Film Adventure,20191212,한국,1,콧수염필름즈
147,20185161,나를 찾아줘,Bring Me Home,20191127,한국,10,(주)26컴퍼니
148,20181198,보희와 녹양,A Boy and Sungreen,20190529,한국,5,한국영화아카데미
149,20174442,뷰티풀 데이즈,Beautiful Days,20181121,한국,5,(주)페퍼민트앤컴퍼니
150,20154908,7년의 밤,Seven Years of Night,20180328,한국,10,(주)바른손
151,20173734,죄 많은 소녀,After My Death,20180913,한국,5,한국영화아카데미
152,20179383,독전,Believer,20180522,한국,4,(주)용필름
153,20174010,호랑이보다 무서운 겨울손님,A Tiger in Winter,20180412,한국,1,영화사 벽돌
154,20178781,사라진 밤,The Vanished,20180307,한국,10,(주)싸이더스
155,20170590,1987,1987: When the Day Comes,20171227,한국,5,(주)우정필름
156,20169643,침묵,Heart Blackened,20171102,한국,5,(주)용필름
157,20162869,택시운전사,A Taxi Driver,20170802,한국,5,더램프(주)
158,20168161,1급기밀,The Discloser,20180124,한국,5,(주)미인픽쳐스
159,20161589,죽여주는 여자,The Bacchus Lady,20161006,한국,5,한국영화아카데미
