companyId,movieId
1 ,838 
1 ,10658 
1 ,12180 
1 ,33258 
1 ,36751 
1 ,76180 
1 ,330459 
2 ,6589 
2 ,8587 
2 ,10022 
2 ,10067 
2 ,10144 
2 ,10202 
2 ,10567 
2 ,10869 
2 ,11430 
2 ,13850 
2 ,16508 
2 ,18085 
2 ,49013 
2 ,62211 
2 ,71805 
2 ,77022 
2 ,105864 
2 ,106112 
2 ,127380 
2 ,283995 
2 ,317557 
2 ,321612 
2 ,330459 
3 ,13413 
3 ,24589 
3 ,49013 
3 ,62211 
3 ,77887 
3 ,82424 
3 ,105864 
3 ,127380 
3 ,145316 
4 ,154 
4 ,157 
4 ,172 
4 ,193 
4 ,252 
4 ,343 
4 ,381 
4 ,535 
4 ,599 
4 ,805 
4 ,853 
4 ,867 
4 ,875 
4 ,885 
4 ,1377 
4 ,1538 
4 ,1621 
4 ,2438 
4 ,2668 
4 ,3063 
4 ,3121 
4 ,3593 
4 ,4954 
4 ,5122 
4 ,5971 
4 ,8292 
4 ,8413 
4 ,9040 
4 ,9331 
4 ,9377 
4 ,9396 
4 ,9451 
4 ,9562 
4 ,9826 
4 ,9967 
4 ,10805 
4 ,10806 
4 ,10871 
4 ,10998 
4 ,11004 
4 ,11359 
4 ,11371 
4 ,11385 
4 ,11456 
4 ,11498 
4 ,11706 
4 ,11777 
4 ,11839 
4 ,11851 
4 ,11857 
4 ,13320 
4 ,13505 
4 ,13571 
4 ,13644 
4 ,13861 
4 ,13911 
4 ,13913 
4 ,14817 
4 ,15598 
4 ,16090 
4 ,16373 
4 ,17168 
4 ,17496 
4 ,17894 
4 ,18612 
4 ,19118 
4 ,20701 
4 ,25673 
4 ,26269 
4 ,26666 
4 ,26811 
4 ,27458 
4 ,27804 
4 ,27854 
4 ,29510 
4 ,29610 
4 ,29617 
4 ,29786 
4 ,29846 
4 ,29993 
4 ,30054 
4 ,30230 
4 ,31283 
4 ,31409 
4 ,31527 
4 ,31993 
4 ,32120 
4 ,32255 
4 ,32316 
4 ,33657 
4 ,35189 
4 ,35404 
4 ,37610 
4 ,37774 
4 ,37921 
4 ,38027 
4 ,38237 
4 ,38433 
4 ,38437 
4 ,38714 
4 ,38792 
4 ,38985 
4 ,39311 
4 ,40767 
4 ,42040 
4 ,42612 
4 ,42616 
4 ,42716 
4 ,42787 
4 ,43006 
4 ,43419 
4 ,43902 
4 ,44001 
4 ,44721 
4 ,45608 
4 ,46027 
4 ,47955 
4 ,49375 
4 ,50374 
4 ,51049 
4 ,51054 
4 ,51792 
4 ,52355 
4 ,52679 
4 ,54440 
4 ,54660 
4 ,55441 
4 ,56168 
4 ,56557 
4 ,59189 
4 ,61049 
4 ,61880 
4 ,64456 
4 ,65550 
4 ,69526 
4 ,69870 
4 ,72241 
4 ,72340 
4 ,73348 
4 ,74314 
4 ,75752 
4 ,76094 
4 ,76493 
4 ,80168 
4 ,81110 
4 ,81116 
4 ,82687 
4 ,85325 
4 ,86834 
4 ,87788 
4 ,88209 
4 ,94393 
4 ,94641 
4 ,96793 
4 ,96846 
4 ,98566 
