keywordId,movieId
30 ,237 
30 ,380 
30 ,423 
30 ,546 
65 ,9969 
65 ,10486 
65 ,13189 
65 ,14541 
65 ,23719 
65 ,24070 
65 ,59191 
65 ,109453 
65 ,127916 
65 ,146712 
65 ,289728 
65 ,312100 
65 ,353069 
74 ,914 
74 ,9503 
74 ,28426 
74 ,31644 
74 ,42525 
74 ,46971 
74 ,68440 
74 ,109008 
74 ,126759 
74 ,352208 
74 ,352890 
75 ,288 
75 ,8879 
75 ,18447 
75 ,31283 
83 ,605 
83 ,157336 
90 ,80 
90 ,339 
90 ,350 
90 ,397 
90 ,660 
90 ,707 
90 ,1278 
90 ,1859 
90 ,2029 
90 ,9406 
90 ,9716 
90 ,10765 
90 ,13320 
90 ,14735 
90 ,24921 
90 ,52358 
90 ,59436 
90 ,75656 
90 ,106573 
90 ,118534 
90 ,146216 
90 ,202125 
90 ,242683 
90 ,253287 
107 ,1896 
108 ,28628 
108 ,64494 
110 ,698 
110 ,9716 
128 ,1278 
128 ,1938 
128 ,12513 
128 ,13949 
128 ,20213 
128 ,25508 
128 ,42173 
128 ,46525 
128 ,59962 
128 ,62947 
128 ,222936 
131 ,9835 
131 ,12530 
131 ,12547 
131 ,352208 
186 ,1776 
186 ,8327 
186 ,226594 
186 ,238067 
186 ,362409 
186 ,409502 
187 ,1883 
187 ,4887 
187 ,9882 
187 ,24225 
188 ,2049 
188 ,8341 
211 ,2359 
211 ,8985 
211 ,81025 
212 ,253 
212 ,471 
212 ,508 
212 ,509 
212 ,667 
212 ,682 
212 ,691 
212 ,707 
212 ,708 
212 ,714 
212 ,899 
212 ,1978 
212 ,2134 
212 ,2252 
212 ,2760 
212 ,3024 
212 ,3581 
212 ,9911 
212 ,12547 
212 ,13185 
212 ,15705 
212 ,22440 
212 ,24077 
212 ,27396 
212 ,27970 
212 ,29484 
212 ,30308 
212 ,33733 
212 ,35007 
212 ,52440 
212 ,53857 
212 ,75802 
212 ,81110 
212 ,86828 
212 ,146216 
212 ,183258 
212 ,185154 
212 ,228066 
212 ,245168 
212 ,259693 
212 ,261246 
212 ,281238 
212 ,309049 
212 ,369557 
212 ,375366 
212 ,394822 
213 ,712 
213 ,2662 
213 ,159008 
213 ,254302 
220 ,42286 
220 ,165300 
220 ,341013 
220 ,363126 
222 ,2892 
222 ,10972 
222 ,13515 
222 ,56942 
233 ,667 
233 ,12100 
233 ,62472 
233 ,68701 
233 ,130241 
233 ,291351 
236 ,17 
236 ,343 
236 ,471 
236 ,837 
236 ,899 
236 ,990 
236 ,5481 
236 ,9962 
236 ,11934 
236 ,13090 
236 ,16032 
236 ,25476 
236 ,25752 
236 ,25915 
236 ,27114 
236 ,27331 
236 ,32037 
236 ,43727 
236 ,43923 
236 ,44625 
236 ,53157 
236 ,56428 
236 ,67866 
236 ,77949 
236 ,86838 
236 ,100274 
236 ,103413 
236 ,106729 
236 ,123109 
236 ,127505 
236 ,157375 
236 ,171032 
236 ,183171 
236 ,246860 
236 ,248639 
236 ,253277 
236 ,268725 
236 ,334533 
236 ,353433 
236 ,355598 
236 ,359305 
236 ,407806 
237 ,142 
237 ,321 
237 ,546 
237 ,2252 
237 ,2887 
237 ,9800 
237 ,10563 
237 ,10806 
237 ,11000 
237 ,13251 
237 ,15708 
237 ,17021 
237 ,17731 
237 ,18113 
237 ,18480 
237 ,24584 
237 ,26882 
237 ,28628 
237 ,33245 
237 ,33380 
237 ,36041 
237 ,46787 
237 ,59995 
237 ,291869 
237 ,332168 
237 ,338063 
240 ,162 
240 ,77950 
242 ,233 
242 ,253 
242 ,339 
242 ,482 
242 ,502 
242 ,546 
242 ,560 
242 ,696 
242 ,867 
242 ,885 
242 ,1713 
242 ,1883 
242 ,2001 
242 ,3556 
242 ,3574 
242 ,3766 
242 ,5227 
242 ,7515 
242 ,8009 
242 ,9396 
242 ,10560 
242 ,10661 
242 ,11300 
242 ,11511 
242 ,11934 
242 ,16980 
242 ,17073 
242 ,21968 
242 ,27994 
242 ,34996 
242 ,46798 
242 ,137566 
242 ,152599 
242 ,157375 
242 ,157829 
242 ,173689 
242 ,241258 
242 ,253287 
242 ,286521 
242 ,412209 
246 ,535 
246 ,10802 
246 ,15259 
246 ,23941 
246 ,29572 
246 ,31258 
246 ,31678 
246 ,32332 
246 ,61644 
246 ,63945 
246 ,92060 
248 ,92060 
248 ,123337 
248 ,333381 
254 ,707 
254 ,3051 
254 ,4930 
254 ,12310 
254 ,27364 
254 ,29572 
254 ,32961 
254 ,47718 
254 ,108564 
254 ,134480 
254 ,228194 
254 ,242683 
254 ,321612 
254 ,330982 
254 ,352208 
255 ,471 
255 ,508 
255 ,1278 
255 ,2252 
255 ,8336 
255 ,8341 
255 ,9558 
255 ,9584 
255 ,14141 
255 ,19555 
255 ,26390 
255 ,26725 
255 ,28774 
255 ,28963 
255 ,30876 
255 ,47886 
255 ,65364 
255 ,70006 
255 ,123109 
255 ,158936 
255 ,260928 
255 ,267480 
255 ,274820 
255 ,285840 
255 ,332168 
255 ,408439 
258 ,253 
258 ,493 
258 ,1073 
258 ,4012 
258 ,10670 
258 ,12629 
258 ,15705 
258 ,29805 
258 ,30778 
258 ,252894 
258 ,303858 
259 ,34023 
259 ,126277 
269 ,13971 
269 ,20416 
269 ,29846 
270 ,291 
270 ,11607 
270 ,14372 
270 ,20416 
270 ,33627 
270 ,45314 
271 ,10560 
271 ,10918 
271 ,11851 
271 ,14817 
271 ,15261 
271 ,23997 
271 ,24225 
271 ,60062 
271 ,188507 
271 ,207021 
271 ,331745 
272 ,138 
272 ,7131 
272 ,22440 
272 ,29794 
276 ,506 
276 ,96161 
278 ,363126 
279 ,546 
279 ,2359 
279 ,2984 
279 ,8346 
279 ,9604 
279 ,29572 
279 ,41847 
279 ,84190 
279 ,326723 
279 ,352208 
282 ,1807 
282 ,1946 
282 ,12699 
282 ,14237 
282 ,27323 
282 ,54013 
282 ,257344 
290 ,2928 
290 ,12149 
290 ,38753 
290 ,409297 
291 ,1730 
291 ,8054 
291 ,11360 
291 ,27503 
291 ,42717 
291 ,42991 
291 ,43603 
291 ,84708 
291 ,140897 
292 ,12104 
293 ,471 
293 ,504 
293 ,508 
293 ,1278 
293 ,1803 
293 ,2252 
293 ,2891 
293 ,8696 
293 ,9285 
293 ,9558 
293 ,9584 
293 ,10802 
293 ,11300 
293 ,11942 
293 ,14505 
293 ,14983 
293 ,18223 
293 ,20416 
293 ,20712 
293 ,21356 
293 ,21430 
293 ,21950 
293 ,22023 
293 ,23857 
293 ,26390 
293 ,26725 
293 ,27323 
293 ,27439 
293 ,28170 
293 ,28340 
293 ,28652 
293 ,29343 
293 ,29794 
293 ,29938 
293 ,30027 
293 ,30485 
293 ,30876 
293 ,30877 
293 ,34223 
293 ,36349 
293 ,38226 
293 ,38753 
293 ,40060 
293 ,41796 
293 ,43942 
293 ,44672 
293 ,45511 
293 ,47886 
293 ,48118 
293 ,55681 
293 ,59181 
293 ,59726 
293 ,65364 
293 ,65599 
293 ,77889 
293 ,83802 
293 ,85673 
293 ,86207 
293 ,87734 
293 ,88518 
293 ,90079 
293 ,101029 
293 ,102961 
293 ,107319 
293 ,110692 
293 ,112058 
293 ,123109 
293 ,128866 
293 ,166680 
293 ,285840 
293 ,289933 
293 ,322850 
293 ,352372 
293 ,353433 
293 ,355598 
293 ,408439 
293 ,410117 
295 ,37329 
305 ,14506 
305 ,27970 
305 ,31280 
305 ,43341 
306 ,174772 
310 ,605 
310 ,157336 
312 ,605 
314 ,343 
314 ,501 
314 ,551 
314 ,770 
316 ,5765 
316 ,14291 
316 ,24106 
316 ,33034 
316 ,40146 
316 ,245698 
316 ,293189 
321 ,12239 
321 ,26340 
321 ,26750 
321 ,29427 
321 ,31985 
321 ,100063 
321 ,291865 
324 ,352208 
331 ,14147 
331 ,18555 
331 ,22803 
331 ,26390 
331 ,58699 
