num,movie,sentence,score
41,거래완료,서로 다르지만 작은 연결고리를 가진 4개의 서로 다른 이야기. 옴니버스의 느낌이 매력적이다. 짜임새가 아쉬운 부분도 있지만 따듯한 당근마켓영화. 크리스마스 때 나오면 더 좋았을듯.,7
42,인생,명작이다. 공리가 대단한 배우라고 느낀 영화기도 하고..,10
43,늑대사냥,"아니 왜 다 죽임?뜬금없이 다 죽이네.그럼 네임벨류 연예인을 1 ~ 2명, 보조 네임벨류 연예인을 나머지로 채우던가.",1
44,게이트,스토리작가의 역량이 한없이 의심스러워지는 영화. ,1
45,낮과 달,"철든 어른과 철들지 않은 어른의 만남, 대화, 행위들. 철든 어른의 철들지 않은 면과 철들지 않은 어른의 철든 면의 맞닿음. 그 매개가 되는 하나의 노래. 현재의 인물과 과거의 인물이 함께 만들어낸.",8
46,리멤버,"믿고 보는 이성민, 카타르시스 결말",8
47,자백,몰입감 최고 대박! 꼭 봐야 되,10
48,자백,"탄탄한 시나리오, 나나의 재발견",9
49,리멤버,울컥울컥하면서 보다가 마지막쯤에 짜치는 대사가있어서 확 식네요. 감독이 페미인가 검색해봄,6
50,자백,기대가 조금 컸던 거 같기도,7
51,리멤버,이런영화를 좀 추천해라,10
52,라이프,외계 생명체와 처음 접촉하는데 장갑 하나 끼고 만지는게 일단 쥰나 어이없음ㅋㅋ,6
53,특송,넘나 잼나게 봣어요  또봐도 잼나네요흥행이 왜 안된간지 의문임,10
54,고양이들의 아파트,과연보호받아야할 종인가? 고양이에게 재미로 희생되는 불쌍한 조류 설치류들은 안 불쌍하나?,1
55,공조2: 인터내셔날,현빈 1과 다르게 2에서 롤을 바꾸니까 굉장히 괜찮음. 림철령 폭스 다 됨 ㅋㅋ 다니엘헤니는 특출 정도로만 했어도 충분했을..ㅎ 피지컬이 좋아서 액션은 말해뭐해 그냥 현빈 활용을 너무 잘 하는 영화. 공조3 기대,8
56,수상한 그녀,예상된 웃음 예상된 결말 예상된 눈물,5
57,늑대사냥,잔인한 것도 적당히...,6
58,리멤버,재미없다는 사람은 아마도 한국인이 아닐겁니다,10
59,늑대사냥,"역대급 쓰레기 스토리, 액션 전부 엉망진창.. 2022년에 나온 영화가 맞나?",1
60,런,엔딩에서의 반전은 그야말로 호러블 정의구현인가? 아니면 딸의 &amp;#39;어머님 다리에 트리곡신 놔드려야겠어요&amp;#39;라는 효의 실천인가?,9
61,스마일,몰입감은 좋았는데 결말이...,7
62,자백,두시간의 긴 러닝타임이 이렇다할 액션 없이도 지루하지 않은건 소지섭 김윤진 두 배우의 연기력이 아닐까 싶다.두 배우의 눈빛이 미쳤음.몰입도 좋고 결말도 좋다.전혀 예상 하지 못한 반전이 있음.영화 추천합니다. ,10
63,영원한 여름,무심코 클릭했다 한대 쎄게 얻어맞은 느낌. 보고나서 질문 백만개 생성됐는데 대답해 줄 사람이 없네,10
64,싱글라이더,내인생 최고의 영화 !!!삶의 무게가 고스란히 느껴진다. 너무나 먹먹하고 애잔한 영화 ..,10
65,거래완료,깔끔한 연출! 기대없이 보았는데 만족,8
66,자백,오랜만에 잼있게 봤어요 ,10
67,리멤버,친일파 청산 대리만족. ,8
68,오펀: 천사의 탄생,전작 안봐도 상관없으나 전작 명성에 비해서는...,7
69,자백,잼있습니다 볼만합니다,10
70,리멤버,이성민ㆍ남주혁 연기 최고입니다..감동도 주는 영화 ?감추합니다,10
71,시카리오: 암살자의 도시,백발의 총성보다 한발 한발이 숨이 막히는 연출 ,9
72,늑대사냥,대한민국 공권력을 개똥으로 보는지 언제까지 이런 잦같은 범죄 새끼들 영화 찍을 건가? 현실적으로 말이 된다 생각하는가? 적당히 극 상황을 그려야지 아주 지랄들을 하네 ,2
73,자백,김윤진 소지섭 연기는 이루 말할수없습니다영화로 보기에는 좀그냥 드라마로 보는게,7
74,블랙 아담,익숙하지만 액션 보는 맛,7
75,육사오(6/45),이정도면 맺고 끊기 잘한 코메디,8
76,리멤버,나베와 국짐에게 탕탕탕남주혁은 약간 베이비드라이버 생각나고..끝은 대 허무,6
77,자백,소간지와 김윤진의 연기가 빛이 났다. 반전에 반전을 거듭하고 은근한 긴장을 멈출 수 없었다. 수작이라고 할 수 있으려나 이 정도면.,10
78,리멤버,너무 재밌어요 감동적 마지막엔 눈물이ㅜㅜ 남주혁 우는것 보고 감정이입…,10
79,블랙 아담,요즘 마블보다는 훨씬 나음 cg는 정말 고급스럽고 볼게 많아유,9
80,리멤버,우리에게는 갈등을 넘어선 역사적 화해가 필요할지 모른다.피해자와 가해자 모두 각자의 진실을 가지고 있더라도 말이다.,9
81,자백,볼거라고는 나나의미모뿐...,2
82,마약전쟁,상당히 재밌게 봤어요! 주인공 아저씨 연기도 정말 좋았습니다,8
83,에브리씽 에브리웨어 올 앳 원스,몇번째 우주를 거쳐야 너에게 도달할 수 있을까,9
84,늑대사냥,평점 1도 아까운 영화 마녀 아류작 느낌 정말 재미도 없고 감동도 없고 내 시간 아까움 ,1
85,공조2: 인터내셔날,감동할 스토리가 아님. 현빈과 다니엘허니보다보면 영화가 끝남.,10
86,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,언제나 믿고 보는 짱구.. ㅠㅠㅠ,10
87,블랙 아담,닥스보다 닥터페이트가 훨배멋지고 간지낫다 그리고 토르 완다 캡마가 와도 블랙아담 못이김 졸라쌤ㅎㄷㄷ,9
88,리멤버,스토리가 너무 재밌어요,10
89,더 퍼지,그냥 답답한 영화입니다. 모든 빌런들 총집합..,1
90,20세기 소녀,유정이는 안늙었으면 좋겠다 ㅜㅜ ,10
91,에브리씽 에브리웨어 올 앳 원스,"정말 하찮은 영화를 봤다. 모든 것이 앞뒤가 맞는 찰나의 순간을 위해서.Everything, Everywhere, All at once ",8
92,리멤버,개연성이 너무약하다. 뜬금없는거의 연속임,1
93,블랙 아담,개연성 부족한 스토리가 아쉽다.. ,6
94,자백,꼭보세요...  진심♡,10
95,리멤버,연기가 너무 좋고 내용도재밌었어요?? 짜릿하네요 ,10
96,리멤버,각본도 연출도… 허술한 상업영화 좋았던건 주연배우의 연기 뿐이었다 역사적 리얼리티가 있은 작품도 아니라 ..,4
97,정직한 후보2,크게 웃기지도 감동적이지 않은 뻔한 영화.,5
98,리멤버,정답 없는 세상이 맞는말인듯...,8
99,자백,원작을 정말 재미있게봐서 기대했는데 이딴 쓰레기를 만들어놨네 ㅋㅋㅋㅋ 원작에서 끝날때 나오는 가장 큰 반전을 영화 3분의 2 지점에서 스스로 밝히고는 그 뒤로는 그냥 신파를 곁들인 의미없는 내용끌기임차라리 원작을 안 봤다면 원작을 보는걸 추천함,1
100,선과 악의 학교,ㅋㅋㅋㅋ 음... 뭐라해야할지,6
101,자백,나쁘지 않습니다 허허 괜츈해됴,10
102,인생은 아름다워,첫 오분만 버티면 잼있어요,10
103,자백,나나 왤케이쁘냐? 저정도였냐원래?,10
104,리얼 스틸,남자라면 공감대 형성되는 부분 많을 듯 합니다.10번 이상 돌려 본 영화 재밌습니다. ^^,10
105,자백,애인이나 친구랑 보는거 꼭 추천. 가족이랑 람함께 보는것도 추천함!,10
106,자백,소지섭 연기아쉬움 나나의 가능성업,5
107,자백,설득력 있는 치밀한 각본과 연기,9
108,리멤버,친일파의 변명따위 항상 똑같음,10
109,리멤버,와...진짜 오버의 끝이다.,1
110,공조2: 인터내셔날,"진짜 공조는 3,4 나와야됨 ㄹㅇ 존잼",10
111,자백,원작의 스토리라인을 따라가다 마지막의 한국의 사정에 맞게 잘 비틀었다. 덤으로 배우진의 연기력까지,10
112,인생은 아름다워,인생영화라할수있을것같습니다,10
113,기적,중간부분 누나 얘기 나올 때 넘 슬프다 ㅠㅠ 만점,10
114,리멤버,충분히 잘 만들어진 영화입니다,10
115,블랙 아담,괜찮은 히어로 무비! 근래에 본 DC 영화 중 제일 괜찮은 것 같음,9
116,연애 빠진 로맨스,배우 가 연기는 멋있내요,10
117,파운더,"비즈니스 관점으로 보면 굉장히 흥미로운 영화네요.다만, 개인적으로는 맥도날도 형제가 너무 안타까웠어요. 자본주의 사회의 단면을 다시한번 적나라하게 보여주는 영화네요.재미있게 봤습니다.",9
118,리멤버,남주혁의 캐릭터가 있어 어둡지만은 않은 영화였습니다. 몰입도도 높고 연기가 다들 훌륭합니다.,10
119,블랙 아담,사이클론과 닥터 페이트의 영상미가 너무 아름답다,9
120,인비저블 게스트,매불쇼에서 추천 해서 봤는데 2번이나 추천한 이유가 있네요.,9
121,블랙 아담,액션씬으로 이 영화 본다 쿠키 대박,10
122,20세기 소녀,개연성 없고 어디서 본듯한 내용들 짜집기한 영화 ,2
123,에브리씽 에브리웨어 올 앳 원스,기대하고 갔지만 산만 지루했다,1
124,나를 죽여줘,"장애인의 현실을 담담하게 배우의 연기로, 하나의 다큐멘터리로 보여주었다.인간승리의 결말보다  그 한계를 솔직하게 보여준 영화이다.그래서 더 슬픔이 깊게 가슴 속을 울린 것 같다.",9
125,늑대사냥,"영화를 구성하는 어느 것 하나 제대로 된 것이 없는 개ㅆㄹ기 영화, 피와 도륙 장면으로 흥건하다고 이 영화를 고어영화로 분류하는 건 장르영화 제작자와 팬에 대한 모독임. ",1
126,바커스: 고양이를 조심해!,내 생애 가장 지루한 영화.... 너무 재미없어요아무 내용이 없네요 ,1
127,헤어질 결심,물밀듯이 밀려오는 사랑에 마침내 붕괴되는 아름다운 영화입니다 엔딩장면 정말 숨이 막히도록 버겁고 아름답습니다 박찬욱 감독님의 연출과 극본을 보면 정말 천재라고 밖에는 말할수 없습니다 정말 아름다워요 ,10
128,블랙 아담,"액션은 정말 좋은데, 뜬금없이 산으로 가는 스토리는... 거창한 후속편을 암시하긴 하지만 과연?",6
129,리멤버,별 1개도 아까움그냥 친일파 응징 그 이상 그 이하도 아님,1
130,극장판 주술회전 0,후반부에 울컥했습니다. 정말 영화를 본 뒤 캐릭터에게 더 빠져들었던 것 같아요,10
131,20세기 소녀,인생 영화 확정 너무너무너무너무 재밌는,10
132,리멤버,교과서  영화입니다 ㅡ잊혀질만 하면   다시 되새김질하듯 봐야합니다 ㅡ꼭  ,10
133,인생은 아름다워,기대없이 봤는데 좋았어요5060부모님 세대들이 보셔도 참좋았을것같아요 예매해드릴까 합니다 굿굿!!!,10
134,에브리씽 에브리웨어 올 앳 원스,다소 진부한 스토리와 결말이지만 창의적이고 신선한 구성과 흡입력 하나는 끝장나는 연출!,10
135,모비우스,마블이 점점 망해가는구나..,5
136,나우 유 씨 미 2,"세기에 단 두번만 모집한다고 1편의 그 쌩쇼를 하더니 아무렇지도 않게 어디서 듣보잡 마술사 영입하고, 모집책이니 디아이의 간부임이 확실했던 형사는 그냥 디아이한테서 하청이나 받는 개허접으로 전락함. 1편의 신비함을 다 갖다팔아먹은 쓰레기 후속작",1
137,자백,소지섭의 연기만 보게되는 영화. 진짜 연기 잘한다 싶음,2
138,공조2: 인터내셔날,캬 ㅋㅋㅋ1에 못지않은 오히려 2가 더좋았음윤아는 진짜 찰떡캐릭터네 ㅋㅋ,8
139,늑대사냥,그냥 피만 존나 나옴 먼 스토리 인지도 모르겟고 무슨 생각으로 만든건지,2
